Date_UTC,dbn_nez,dbe_nez,dbz_nez
2017-09-06T18:00:00, 34.182, -25.429, -71.893
2017-09-06T18:01:00, 41.491, -21.306, -68.620
2017-09-06T18:02:00, 50.670, -16.141, -65.148
2017-09-06T18:03:00, 53.629, -14.107, -64.282
2017-09-06T18:04:00, 45.709, -17.355, -68.111
2017-09-06T18:05:00, 38.996, -19.261, -71.039
2017-09-06T18:06:00, 35.902, -16.439, -71.669
2017-09-06T18:07:00, 32.667, -13.896, -71.797
2017-09-06T18:08:00, 25.731, -13.844, -73.628
2017-09-06T18:09:00, 21.442, -12.964, -73.459
2017-09-06T18:10:00, 21.552, -11.715, -70.388
2017-09-06T18:11:00, 18.605, -11.331, -70.020
2017-09-06T18:12:00, 14.404, -13.290, -72.653
2017-09-06T18:13:00, 10.979, -16.877, -75.986
2017-09-06T18:14:00, 9.298, -18.897, -78.519
2017-09-06T18:15:00, 10.663, -18.734, -77.853
2017-09-06T18:16:00, 10.390, -18.029, -76.687
2017-09-06T18:17:00, 10.601, -16.787, -74.420
2017-09-06T18:18:00, 10.203, -15.557, -72.057
2017-09-06T18:19:00, 9.667, -13.901, -69.689
2017-09-06T18:20:00, 15.985, -9.608, -63.827
2017-09-06T18:21:00, 22.841, -5.090, -57.567
2017-09-06T18:22:00, 28.537, -1.613, -52.503
2017-09-06T18:23:00, 27.575, -1.511, -52.444
2017-09-06T18:24:00, 24.287, -4.203, -55.483
2017-09-06T18:25:00, 21.606, -7.589, -59.721
2017-09-06T18:26:00, 18.562, -10.013, -64.363
2017-09-06T18:27:00, 12.693, -11.721, -69.803
2017-09-06T18:28:00, 7.185, -11.664, -73.446
2017-09-06T18:29:00, 3.109, -11.511, -75.287
2017-09-06T18:30:00, 0.753, -13.430, -75.737
2017-09-06T18:31:00, -0.090, -16.076, -75.879
2017-09-06T18:32:00, -0.926, -16.599, -77.224
2017-09-06T18:33:00, -1.121, -15.497, -78.172
2017-09-06T18:34:00, -0.719, -14.481, -77.815
2017-09-06T18:35:00, -1.412, -15.427, -77.360
2017-09-06T18:36:00, -3.409, -17.697, -77.406
2017-09-06T18:37:00, -4.202, -20.039, -76.857
2017-09-06T18:38:00, -2.830, -22.093, -74.404
2017-09-06T18:39:00, -0.429, -25.408, -70.553
2017-09-06T18:40:00, 2.341, -28.271, -67.601
2017-09-06T18:41:00, 6.136, -29.666, -64.850
2017-09-06T18:42:00, 9.922, -29.747, -62.200
2017-09-06T18:43:00, 12.592, -29.866, -59.653
2017-09-06T18:44:00, 13.270, -29.793, -58.706
2017-09-06T18:45:00, 11.699, -29.899, -59.957
2017-09-06T18:46:00, 11.887, -28.342, -60.709
2017-09-06T18:47:00, 9.277, -26.578, -62.463
2017-09-06T18:48:00, 2.610, -24.222, -65.822
2017-09-06T18:49:00, -5.350, -24.507, -68.077
2017-09-06T18:50:00, -10.337, -23.812, -68.736
2017-09-06T18:51:00, -10.438, -20.800, -66.392
2017-09-06T18:52:00, -9.944, -18.580, -62.953
2017-09-06T18:53:00, -12.882, -19.096, -62.814
2017-09-06T18:54:00, -19.908, -19.925, -66.278
2017-09-06T18:55:00, -24.868, -20.450, -68.040
2017-09-06T18:56:00, -25.408, -19.095, -67.304
2017-09-06T18:57:00, -26.018, -17.529, -66.475
2017-09-06T18:58:00, -26.671, -16.261, -64.542
2017-09-06T18:59:00, -27.152, -15.219, -62.511
2017-09-06T19:00:00, -24.423, -13.639, -58.882
2017-09-06T19:01:00, -21.422, -11.594, -55.254
2017-09-06T19:02:00, -17.635, -11.786, -51.225
2017-09-06T19:03:00, -14.971, -14.846, -49.900
2017-09-06T19:04:00, -14.516, -19.200, -51.475
2017-09-06T19:05:00, -15.014, -21.091, -53.148
2017-09-06T19:06:00, -14.694, -19.464, -52.928
2017-09-06T19:07:00, -15.765, -16.318, -52.508
2017-09-06T19:08:00, -16.258, -13.360, -50.587
2017-09-06T19:09:00, -18.081, -10.511, -48.269
2017-09-06T19:10:00, -19.298, -9.065, -45.150
2017-09-06T19:11:00, -16.457, -8.212, -40.733
2017-09-06T19:12:00, -12.683, -7.193, -38.015
2017-09-06T19:13:00, -10.171, -7.910, -36.799
2017-09-06T19:14:00, -14.267, -10.289, -39.586
2017-09-06T19:15:00, -20.845, -14.430, -44.477
2017-09-06T19:16:00, -24.483, -19.203, -48.264
2017-09-06T19:17:00, -26.397, -19.782, -51.455
2017-09-06T19:18:00, -26.515, -15.672, -51.647
2017-09-06T19:19:00, -28.915, -17.496, -52.136
2017-09-06T19:20:00, -18.871, -19.925, -50.627
2017-09-06T19:21:00, -6.959, -22.021, -50.424
2017-09-06T19:22:00, -4.296, -19.634, -58.318
2017-09-06T19:23:00, -11.571, -19.537, -61.414
2017-09-06T19:24:00, -16.797, -19.942, -59.516
