Date_UTC,dbn_nez,dbe_nez,dbz_nez
2018-04-19T21:00:00, 6.807, 0.201, -2.749
2018-04-19T21:01:00, 6.680, 0.193, -2.642
2018-04-19T21:02:00, 6.155, 0.284, -2.882
2018-04-19T21:03:00, 6.656, 0.356, -2.883
2018-04-19T21:04:00, 6.575, 0.245, -2.794
2018-04-19T21:05:00, 6.733, 0.255, -2.815
2018-04-19T21:06:00, 6.882, 0.088, -2.674
2018-04-19T21:07:00, 6.512, 0.291, -2.835
2018-04-19T21:08:00, 6.484, 0.348, -2.964
2018-04-19T21:09:00, 6.348, 0.309, -2.963
2018-04-19T21:10:00, 6.428, 0.055, -2.943
2018-04-19T21:11:00, 7.107, -0.116, -2.774
2018-04-19T21:12:00, 8.065, -0.342, -2.562
2018-04-19T21:13:00, 8.969, -0.335, -2.181
2018-04-19T21:14:00, 9.575, -0.202, -1.987
2018-04-19T21:15:00, 9.161, -0.070, -2.067
2018-04-19T21:16:00, 8.962, 0.002, -2.162
2018-04-19T21:17:00, 8.908, 0.060, -2.225
2018-04-19T21:18:00, 8.850, 0.087, -2.303
2018-04-19T21:19:00, 9.006, 0.009, -2.287
2018-04-19T21:20:00, 8.968, 0.052, -2.294
2018-04-19T21:21:00, 9.030, 0.151, -2.316
2018-04-19T21:22:00, 8.912, 0.187, -2.342
2018-04-19T21:23:00, 8.715, 0.213, -2.387
2018-04-19T21:24:00, 8.566, 0.120, -2.470
2018-04-19T21:25:00, 8.579, 0.004, -2.424
2018-04-19T21:26:00, 8.793, -0.072, -2.335
2018-04-19T21:27:00, 8.926, -0.084, -2.237
2018-04-19T21:28:00, 8.785, -0.038, -2.260
2018-04-19T21:29:00, 8.821, 0.051, -2.271
2018-04-19T21:30:00, 8.877, -0.121, -2.210
2018-04-19T21:31:00, 9.240, -0.238, -2.079
2018-04-19T21:32:00, 9.450, -0.227, -1.990
2018-04-19T21:33:00, 9.516, -0.261, -1.960
2018-04-19T21:34:00, 9.563, -0.433, -2.026
2018-04-19T21:35:00, 9.345, -0.307, -1.897
2018-04-19T21:36:00, 9.122, -0.419, -1.982
2018-04-19T21:37:00, 9.000, -0.483, -2.027
2018-04-19T21:38:00, 8.655, -0.562, -2.150
2018-04-19T21:39:00, 8.554, -0.579, -2.245
2018-04-19T21:40:00, 8.491, -0.535, -2.282
2018-04-19T21:41:00, 8.258, -0.554, -2.317
2018-04-19T21:42:00, 8.220, -0.647, -2.360
2018-04-19T21:43:00, 8.360, -0.716, -2.317
2018-04-19T21:44:00, 8.674, -0.784, -2.211
2018-04-19T21:45:00, 8.939, -0.813, -2.124
2018-04-19T21:46:00, 9.097, -0.834, -2.037
2018-04-19T21:47:00, 8.934, -0.839, -2.109
2018-04-19T21:48:00, 9.111, -0.843, -2.060
2018-04-19T21:49:00, 9.183, -0.884, -1.964
2018-04-19T21:50:00, 9.189, -0.958, -1.996
2018-04-19T21:51:00, 9.384, -0.977, -1.965
2018-04-19T21:52:00, 9.440, -0.996, -1.935
2018-04-19T21:53:00, 9.369, -1.036, -1.966
2018-04-19T21:54:00, 9.519, -1.010, -1.926
2018-04-19T21:55:00, 9.284, -0.963, -1.926
2018-04-19T21:56:00, 9.096, -1.028, -2.007
2018-04-19T21:57:00, 9.006, -1.067, -2.135
2018-04-19T21:58:00, 9.140, -1.092, -2.032
2018-04-19T21:59:00, 9.022, -1.146, -2.050
2018-04-19T22:00:00, 8.999, -1.125, -2.009
2018-04-19T22:01:00, 9.256, -1.189, -1.948
2018-04-19T22:02:00, 9.386, -1.180, -1.863
2018-04-19T22:03:00, 9.314, -1.156, -1.821
2018-04-19T22:04:00, 8.920, -1.128, -2.039
2018-04-19T22:05:00, 8.450, -1.086, -2.085
2018-04-19T22:06:00, 8.152, -1.114, -2.159
