Date_UTC,dbn_nez,dbe_nez,dbz_nez
2018-04-19T21:00:00, -17.768, -16.397, -3.398
2018-04-19T21:01:00, -17.185, -16.912, -3.146
2018-04-19T21:02:00, -16.973, -17.647, -3.018
2018-04-19T21:03:00, -16.750, -17.978, -2.473
2018-04-19T21:04:00, -17.757, -17.148, -1.884
2018-04-19T21:05:00, -18.957, -16.938, -1.976
2018-04-19T21:06:00, -18.448, -16.396, -2.751
2018-04-19T21:07:00, -16.620, -15.451, -2.866
2018-04-19T21:08:00, -17.612, -15.150, -1.923
2018-04-19T21:09:00, -21.229, -15.884, -1.714
2018-04-19T21:10:00, -22.259, -16.586, -3.509
2018-04-19T21:11:00, -18.557, -16.127, -4.133
2018-04-19T21:12:00, -14.405, -15.416, -2.565
2018-04-19T21:13:00, -14.736, -15.511, -1.350
2018-04-19T21:14:00, -15.873, -15.306, -1.853
2018-04-19T21:15:00, -15.449, -15.237, -2.454
2018-04-19T21:16:00, -14.035, -15.847, -2.110
2018-04-19T21:17:00, -13.313, -16.207, -1.661
2018-04-19T21:18:00, -13.410, -16.159, -1.697
2018-04-19T21:19:00, -13.433, -15.548, -2.100
2018-04-19T21:20:00, -12.861, -14.893, -2.245
2018-04-19T21:21:00, -11.906, -14.417, -1.708
2018-04-19T21:22:00, -11.933, -14.243, -1.218
2018-04-19T21:23:00, -12.924, -14.572, -1.474
2018-04-19T21:24:00, -13.116, -14.993, -2.175
2018-04-19T21:25:00, -12.301, -14.963, -2.311
2018-04-19T21:26:00, -11.566, -15.058, -1.822
2018-04-19T21:27:00, -11.686, -14.780, -1.701
2018-04-19T21:28:00, -11.969, -14.607, -1.854
2018-04-19T21:29:00, -12.489, -14.717, -1.929
2018-04-19T21:30:00, -12.554, -15.394, -2.219
2018-04-19T21:31:00, -11.015, -15.272, -2.303
2018-04-19T21:32:00, -9.672, -15.393, -1.840
2018-04-19T21:33:00, -10.321, -15.631, -1.523
2018-04-19T21:34:00, -11.595, -15.536, -1.721
2018-04-19T21:35:00, -11.500, -15.699, -1.990
2018-04-19T21:36:00, -10.691, -16.073, -2.142
2018-04-19T21:37:00, -10.050, -15.971, -1.986
2018-04-19T21:38:00, -10.481, -16.080, -1.912
2018-04-19T21:39:00, -10.965, -15.831, -1.987
2018-04-19T21:40:00, -11.305, -16.265, -1.527
2018-04-19T21:41:00, -11.680, -16.741, -1.306
2018-04-19T21:42:00, -11.752, -16.912, -1.542
2018-04-19T21:43:00, -11.513, -16.530, -1.919
2018-04-19T21:44:00, -11.384, -16.050, -1.937
2018-04-19T21:45:00, -11.475, -15.887, -1.936
2018-04-19T21:46:00, -11.102, -15.949, -2.025
2018-04-19T21:47:00, -10.503, -16.206, -1.876
