Date_UTC,dbn_nez,dbe_nez,dbz_nez
2019-08-04T00:00:00, 5.219, 0.561, -1.911
2019-08-04T00:01:00, 5.310, 1.019, -2.015
2019-08-04T00:02:00, 5.210, 0.865, -1.982
2019-08-04T00:03:00, 5.079, 0.769, -2.036
2019-08-04T00:04:00, 5.286, 0.994, -2.114
2019-08-04T00:05:00, 5.387, 0.878, -2.071
2019-08-04T00:06:00, 5.488, 0.762, -2.114
2019-08-04T00:07:00, 5.735, 0.770, -2.243
2019-08-04T00:08:00, 5.447, 0.614, -2.166
2019-08-04T00:09:00, 5.442, 0.671, -2.176
2019-08-04T00:10:00, 5.493, 0.611, -2.194
2019-08-04T00:11:00, 5.877, 0.805, -2.364
2019-08-04T00:12:00, 5.920, 0.808, -2.344
2019-08-04T00:13:00, 5.997, 0.945, -2.402
2019-08-04T00:14:00, 5.957, 0.932, -2.394
2019-08-04T00:15:00, 5.783, 0.766, -2.378
2019-08-04T00:16:00, 5.822, 1.025, -2.401
2019-08-04T00:17:00, 5.792, 0.886, -2.414
2019-08-04T00:18:00, 5.968, 1.139, -2.493
2019-08-04T00:19:00, 5.432, -0.664, -2.209
2019-08-04T00:20:00, 6.630, 0.965, -2.695
2019-08-04T00:21:00, 6.360, 0.717, -2.583
2019-08-04T00:22:00, 7.202, 1.128, -2.850
2019-08-04T00:23:00, 6.994, 0.892, -2.724
2019-08-04T00:24:00, 7.869, 2.078, -2.980
2019-08-04T00:25:00, 7.545, 1.821, -2.807
2019-08-04T00:26:00, 7.861, 2.549, -2.942
2019-08-04T00:27:00, 7.434, 2.625, -2.785
2019-08-04T00:28:00, 6.776, 2.690, -2.608
2019-08-04T00:29:00, 6.627, 2.626, -2.541
2019-08-04T00:30:00, 6.079, 2.071, -2.403
2019-08-04T00:31:00, 6.450, 2.425, -2.610
2019-08-04T00:32:00, 6.527, 2.564, -2.587
2019-08-04T00:33:00, 6.398, 2.409, -2.559
2019-08-04T00:34:00, 6.511, 2.555, -2.623
2019-08-04T00:35:00, 6.534, 2.524, -2.620
2019-08-04T00:36:00, 6.579, 2.530, -2.632
2019-08-04T00:37:00, 6.461, 2.408, -2.610
2019-08-04T00:38:00, 6.301, 2.055, -2.585
