Date_UTC,dbn_nez,dbe_nez,dbz_nez
2020-04-20T00:00:00, -0.984, -0.265, 5.879
2020-04-20T00:01:00, -0.758, -0.810, 6.114
2020-04-20T00:02:00, -1.049, -1.386, 6.432
2020-04-20T00:03:00, -1.123, -0.568, 6.992
2020-04-20T00:04:00, -0.089, 1.151, 7.662
2020-04-20T00:05:00, 0.610, 1.879, 7.480
2020-04-20T00:06:00, 0.857, 1.885, 6.837
2020-04-20T00:07:00, 0.644, 0.931, 5.796
2020-04-20T00:08:00, -0.175, -0.301, 4.896
2020-04-20T00:09:00, -0.457, -0.814, 4.406
2020-04-20T00:10:00, -0.404, -1.548, 3.865
2020-04-20T00:11:00, -0.893, -2.148, 3.672
2020-04-20T00:12:00, -0.913, -1.552, 4.502
2020-04-20T00:13:00, 0.076, 0.043, 5.794
2020-04-20T00:14:00, 0.324, 1.032, 5.890
2020-04-20T00:15:00, 0.142, 1.083, 5.103
2020-04-20T00:16:00, 0.012, 0.156, 4.156
2020-04-20T00:17:00, -0.050, -1.224, 3.146
2020-04-20T00:18:00, -0.304, -2.050, 2.402
2020-04-20T00:19:00, -0.234, -2.123, 2.459
2020-04-20T00:20:00, -0.204, -2.369, 2.804
2020-04-20T00:21:00, 0.069, -2.233, 3.361
2020-04-20T00:22:00, 0.124, -1.866, 3.835
2020-04-20T00:23:00, -0.043, -1.444, 4.293
2020-04-20T00:24:00, 0.025, -0.847, 4.689
2020-04-20T00:25:00, 0.189, -0.504, 4.847
2020-04-20T00:26:00, 0.332, -0.428, 4.914
2020-04-20T00:27:00, 0.505, -0.758, 4.856
2020-04-20T00:28:00, 0.717, -1.417, 4.560
2020-04-20T00:29:00, 0.465, -2.169, 4.126
2020-04-20T00:30:00, 0.343, -2.509, 3.904
2020-04-20T00:31:00, -0.206, -2.936, 3.490
2020-04-20T00:32:00, -0.514, -3.285, 3.235
2020-04-20T00:33:00, -0.438, -3.132, 3.228
2020-04-20T00:34:00, -0.194, -2.490, 3.411
2020-04-20T00:35:00, -0.137, -1.735, 3.743
2020-04-20T00:36:00, -0.288, -1.455, 3.892
2020-04-20T00:37:00, -0.820, -1.462, 3.962
2020-04-20T00:38:00, -1.299, -1.695, 3.915
2020-04-20T00:39:00, -1.202, -2.259, 3.919
2020-04-20T00:40:00, -1.119, -3.183, 3.879
2020-04-20T00:41:00, -1.225, -4.189, 3.406
2020-04-20T00:42:00, -1.200, -4.599, 2.991
2020-04-20T00:43:00, -0.728, -4.132, 2.998
2020-04-20T00:44:00, -0.370, -3.561, 3.232
2020-04-20T00:45:00, -0.069, -2.754, 3.633
2020-04-20T00:46:00, 0.341, -1.590, 4.023
2020-04-20T00:47:00, 0.698, -0.508, 4.283
2020-04-20T00:48:00, 0.787, -0.314, 4.441
2020-04-20T00:49:00, 0.604, -0.111, 4.654
2020-04-20T00:50:00, 0.297, 0.476, 4.816
2020-04-20T00:51:00, -0.533, 1.197, 4.883
2020-04-20T00:52:00, -1.542, 2.079, 5.158
2020-04-20T00:53:00, -1.667, 3.963, 6.049
2020-04-20T00:54:00, -1.144, 4.208, 6.924
2020-04-20T00:55:00, -0.325, 3.847, 7.698
2020-04-20T00:56:00, -0.026, 2.555, 7.553
2020-04-20T00:57:00, -0.411, 0.032, 6.657
2020-04-20T00:58:00, -1.216, -2.586, 5.476
2020-04-20T00:59:00, -2.403, -4.585, 4.021
2020-04-20T01:00:00, -3.590, -5.761, 2.484
2020-04-20T01:01:00, -3.770, -5.873, 1.782
2020-04-20T01:02:00, -3.341, -5.745, 2.115
2020-04-20T01:03:00, -3.467, -4.300, 2.753
2020-04-20T01:04:00, -3.137, -2.087, 3.292
2020-04-20T01:05:00, -2.609, -1.281, 3.382
2020-04-20T01:06:00, -2.343, -1.218, 3.160
2020-04-20T01:07:00, -2.194, -1.192, 2.769
2020-04-20T01:08:00, -2.347, -1.476, 2.307
2020-04-20T01:09:00, -2.832, -2.276, 1.787
2020-04-20T01:10:00, -3.113, -2.973, 1.473
2020-04-20T01:11:00, -3.180, -4.345, 1.034
2020-04-20T01:12:00, -2.908, -5.293, 0.669
2020-04-20T01:13:00, -2.082, -5.385, 0.807
2020-04-20T01:14:00, -0.535, -4.794, 1.371
2020-04-20T01:15:00, 0.769, -4.050, 2.298
2020-04-20T01:16:00, 1.708, -2.225, 3.881
2020-04-20T01:17:00, 2.356, -1.741, 4.163
2020-04-20T01:18:00, 2.397, -2.596, 3.542
2020-04-20T01:19:00, 1.626, -3.087, 2.773
2020-04-20T01:20:00, 0.610, -3.877, 2.065
2020-04-20T01:21:00, -0.350, -4.331, 1.713
2020-04-20T01:22:00, -0.839, -4.082, 2.001
2020-04-20T01:23:00, -1.211, -4.083, 2.030
2020-04-20T01:24:00, -1.765, -4.147, 2.005
2020-04-20T01:25:00, -1.827, -3.800, 2.284
2020-04-20T01:26:00, -1.193, -2.833, 2.942
2020-04-20T01:27:00, 0.085, -1.181, 3.630
2020-04-20T01:28:00, 2.058, 0.204, 3.775
2020-04-20T01:29:00, 2.558, 0.065, 3.592
2020-04-20T01:30:00, 2.626, -0.274, 3.443
2020-04-20T01:31:00, 2.532, -0.405, 3.544
2020-04-20T01:32:00, 2.427, -0.324, 3.575
2020-04-20T01:33:00, 2.752, -0.053, 3.534
2020-04-20T01:34:00, 3.449, 0.270, 3.200
2020-04-20T01:35:00, 4.337, 0.169, 3.015
2020-04-20T01:36:00, 4.862, -1.437, 2.406
2020-04-20T01:37:00, 4.707, -2.615, 1.571
2020-04-20T01:38:00, 4.164, -3.738, 0.541
2020-04-20T01:39:00, 3.864, -4.446, 0.014
2020-04-20T01:40:00, 3.687, -4.851, -0.458
2020-04-20T01:41:00, 3.505, -4.739, -0.662
2020-04-20T01:42:00, 3.424, -4.559, -0.522
2020-04-20T01:43:00, 3.238, -4.381, -0.445
2020-04-20T01:44:00, 3.098, -4.338, -0.329
2020-04-20T01:45:00, 2.533, -4.308, -0.315
2020-04-20T01:46:00, 2.191, -4.278, -0.189
2020-04-20T01:47:00, 2.530, -3.987, 0.535
2020-04-20T01:48:00, 2.640, -3.588, 1.313
2020-04-20T01:49:00, 2.642, -3.172, 1.885
2020-04-20T01:50:00, 2.566, -2.745, 2.284
2020-04-20T01:51:00, 2.774, -2.164, 2.703
2020-04-20T01:52:00, 3.352, -1.536, 3.015
2020-04-20T01:53:00, 3.771, -1.324, 3.140
2020-04-20T01:54:00, 4.058, -1.107, 3.371
2020-04-20T01:55:00, 4.209, -1.300, 3.484
2020-04-20T01:56:00, 4.279, -1.452, 3.643
2020-04-20T01:57:00, 3.949, -1.610, 3.549
2020-04-20T01:58:00, 3.411, -1.649, 3.357
2020-04-20T01:59:00, 3.104, -1.655, 3.168
2020-04-20T02:00:00, 3.121, -1.857, 3.202
2020-04-20T02:01:00, 2.866, -1.811, 3.166
2020-04-20T02:02:00, 2.477, -1.657, 2.765
2020-04-20T02:03:00, 2.572, -1.585, 2.576
2020-04-20T02:04:00, 2.655, -1.508, 2.026
2020-04-20T02:05:00, 3.380, -1.315, 2.101
2020-04-20T02:06:00, 4.160, -1.766, 2.457
2020-04-20T02:07:00, 4.902, -2.651, 2.437
2020-04-20T02:08:00, 4.809, -4.284, 0.991
2020-04-20T02:09:00, 4.263, -4.505, 0.545
2020-04-20T02:10:00, 3.658, -3.858, 0.654
2020-04-20T02:11:00, 3.340, -2.900, 0.965
2020-04-20T02:12:00, 3.542, -3.135, 1.347
2020-04-20T02:13:00, 3.324, -3.673, 1.912
2020-04-20T02:14:00, 2.569, -4.377, 2.195
2020-04-20T02:15:00, 1.720, -5.139, 2.686
2020-04-20T02:16:00, 0.515, -6.020, 3.188
2020-04-20T02:17:00, -1.327, -7.038, 2.705
2020-04-20T02:18:00, -3.048, -7.750, 1.559
2020-04-20T02:19:00, -4.598, -7.260, 0.904
2020-04-20T02:20:00, -5.409, -6.458, 0.949
2020-04-20T02:21:00, -4.198, -4.505, 1.095
2020-04-20T02:22:00, -3.138, -3.396, -0.679
2020-04-20T02:23:00, -2.551, -2.914, -2.181
2020-04-20T02:24:00, -0.747, -0.806, -2.367
2020-04-20T02:25:00, 1.153, 1.343, -1.142
2020-04-20T02:26:00, 0.028, 1.267, 0.269
2020-04-20T02:27:00, -4.947, -1.367, 0.389
2020-04-20T02:28:00, -7.360, -3.355, 0.310
2020-04-20T02:29:00, -8.916, -5.639, -0.757
2020-04-20T02:30:00, -11.181, -6.909, -1.305
2020-04-20T02:31:00, -9.358, -7.764, -1.864
2020-04-20T02:32:00, -4.460, -6.340, -2.181
2020-04-20T02:33:00, -3.229, -7.512, -2.347
2020-04-20T02:34:00, -4.868, -8.747, -1.712
2020-04-20T02:35:00, -13.700, -13.620, -1.420
2020-04-20T02:36:00, -18.879, -13.486, 2.468
2020-04-20T02:37:00, -10.805, -8.536, 9.294
2020-04-20T02:38:00, -10.914, -7.004, 12.569
2020-04-20T02:39:00, -8.562, -6.949, 17.216
2020-04-20T02:40:00, -8.870, -7.350, 20.585
2020-04-20T02:41:00, -6.388, -5.381, 21.376
2020-04-20T02:42:00, -2.802, -1.454, 20.573
2020-04-20T02:43:00, 2.253, 4.432, 19.130
2020-04-20T02:44:00, 3.203, 2.386, 18.382
2020-04-20T02:45:00, -0.942, -1.066, 19.716
2020-04-20T02:46:00, -1.473, -0.235, 20.027
2020-04-20T02:47:00, -3.722, -3.082, 20.573
2020-04-20T02:48:00, -4.523, -3.975, 19.408
2020-04-20T02:49:00, 0.698, -3.043, 18.071
2020-04-20T02:50:00, 2.466, -5.147, 16.867
2020-04-20T02:51:00, 1.941, -6.024, 16.734
2020-04-20T02:52:00, 2.566, -6.891, 16.539
2020-04-20T02:53:00, 0.350, -7.660, 16.297
2020-04-20T02:54:00, -0.739, -5.702, 17.064
2020-04-20T02:55:00, -2.063, -4.592, 16.167
2020-04-20T02:56:00, -4.566, -4.981, 16.899
2020-04-20T02:57:00, -8.483, -7.288, 18.854
2020-04-20T02:58:00, -10.508, -8.358, 17.967
2020-04-20T02:59:00, -8.687, -6.964, 17.095
2020-04-20T03:00:00, -8.202, -4.933, 16.509
2020-04-20T03:01:00, -10.433, -1.625, 18.419
2020-04-20T03:02:00, -10.679, 0.196, 21.893
2020-04-20T03:03:00, -13.555, 2.655, 24.429
2020-04-20T03:04:00, -16.030, 0.409, 25.144
2020-04-20T03:05:00, -11.689, 0.814, 30.915
2020-04-20T03:06:00, -5.073, 2.638, 37.213
2020-04-20T03:07:00, -4.494, -7.674, 42.875
2020-04-20T03:08:00, -10.919, -22.066, 38.334
2020-04-20T03:09:00, -13.281, -21.192, 35.121
2020-04-20T03:10:00, -2.849, -17.579, 31.249
2020-04-20T03:11:00, -1.241, -14.042, 32.177
2020-04-20T03:12:00, -1.353, -12.623, 32.813
2020-04-20T03:13:00, 0.456, -9.752, 31.817
2020-04-20T03:14:00, 1.031, -7.611, 31.094
2020-04-20T03:15:00, 3.653, -5.830, 30.219
2020-04-20T03:16:00, 3.354, -5.197, 31.462
2020-04-20T03:17:00, -1.820, -6.033, 31.119
2020-04-20T03:18:00, -7.445, -8.615, 32.160
2020-04-20T03:19:00, -5.320, -7.406, 34.466
2020-04-20T03:20:00, -4.514, -6.740, 30.688
2020-04-20T03:21:00, -3.557, -5.556, 27.354
2020-04-20T03:22:00, -3.661, 2.487, 27.717
2020-04-20T03:23:00, -3.178, 3.576, 28.127
2020-04-20T03:24:00, -6.482, 2.404, 25.936
2020-04-20T03:25:00, -8.032, 2.140, 22.230
2020-04-20T03:26:00, -13.171, -1.928, 17.118
2020-04-20T03:27:00, -15.303, -5.253, 15.850
2020-04-20T03:28:00, -21.221, -6.364, 15.102
2020-04-20T03:29:00, -27.049, -7.799, 13.004
2020-04-20T03:30:00, -26.659, -6.774, 14.253
2020-04-20T03:31:00, -24.905, -7.646, 15.027
2020-04-20T03:32:00, -26.909, -11.323, 15.153
2020-04-20T03:33:00, -29.157, -15.206, 15.756
2020-04-20T03:34:00, -26.247, -12.918, 19.164
2020-04-20T03:35:00, -25.865, -13.628, 23.377
2020-04-20T03:36:00, -24.136, -18.044, 27.598
2020-04-20T03:37:00, -22.741, -22.142, 30.180
2020-04-20T03:38:00, -20.176, -25.985, 33.605
2020-04-20T03:39:00, -18.431, -29.548, 35.446
2020-04-20T03:40:00, -13.899, -35.707, 37.013
2020-04-20T03:41:00, -9.427, -35.913, 37.424
2020-04-20T03:42:00, -2.423, -32.647, 32.559
2020-04-20T03:43:00, 1.845, -30.898, 32.678
2020-04-20T03:44:00, 6.304, -30.925, 33.325
2020-04-20T03:45:00, 8.559, -27.187, 32.191
2020-04-20T03:46:00, 8.148, -22.271, 30.944
2020-04-20T03:47:00, 7.146, -22.443, 31.354
2020-04-20T03:48:00, 6.523, -22.945, 31.359
2020-04-20T03:49:00, 6.400, -27.638, 30.746
2020-04-20T03:50:00, 3.936, -25.250, 30.966
2020-04-20T03:51:00, 0.908, -18.916, 31.627
2020-04-20T03:52:00, 0.573, -19.744, 32.144
2020-04-20T03:53:00, -3.749, -15.046, 35.330
2020-04-20T03:54:00, -13.304, -19.337, 35.239
2020-04-20T03:55:00, -19.819, -26.399, 36.191
2020-04-20T03:56:00, -21.133, -29.621, 40.710
2020-04-20T03:57:00, -15.464, -30.577, 43.397
2020-04-20T03:58:00, -13.150, -29.194, 42.842
2020-04-20T03:59:00, -9.879, -27.960, 43.932
2020-04-20T04:00:00, -6.605, -26.025, 44.811
2020-04-20T04:01:00, -6.298, -21.875, 45.941
2020-04-20T04:02:00, -0.767, -15.044, 48.114
2020-04-20T04:03:00, 0.858, -12.015, 49.210
2020-04-20T04:04:00, 3.038, -12.807, 48.975
2020-04-20T04:05:00, 5.176, -12.051, 48.302
2020-04-20T04:06:00, 11.210, -6.321, 50.802
2020-04-20T04:07:00, 14.518, 3.760, 58.037
2020-04-20T04:08:00, -9.474, 7.587, 69.245
2020-04-20T04:09:00, -29.707, -28.988, 67.692
2020-04-20T04:10:00, -46.338, -43.301, 66.404
2020-04-20T04:11:00, -51.436, -37.028, 71.602
2020-04-20T04:12:00, -50.292, -38.820, 79.936
2020-04-20T04:13:00, -38.330, -21.865, 89.974
2020-04-20T04:14:00, -29.446, -15.988, 94.676
2020-04-20T04:15:00, -30.224, -13.300, 96.766
2020-04-20T04:16:00, -29.776, -18.733, 96.746
2020-04-20T04:17:00, -25.906, -16.708, 96.781
2020-04-20T04:18:00, -22.284, -11.733, 98.222
2020-04-20T04:19:00, -17.170, -6.551, 100.449
2020-04-20T04:20:00, -9.814, 0.801, 103.347
2020-04-20T04:21:00, -5.106, 5.458, 103.906
2020-04-20T04:22:00, 1.597, 6.233, 101.902
2020-04-20T04:23:00, 5.805, -0.293, 100.047
2020-04-20T04:24:00, 5.463, -11.116, 99.981
2020-04-20T04:25:00, -14.907, -14.750, 98.470
2020-04-20T04:26:00, -36.736, -17.396, 102.607
2020-04-20T04:27:00, -65.218, -50.033, 101.966
2020-04-20T04:28:00, -95.886, -65.374, 105.590
2020-04-20T04:29:00, -162.157, -135.525, 55.777
2020-04-20T04:30:00, -327.490, -213.239, 25.539
2020-04-20T04:31:00, -254.240, -204.861, 18.401
2020-04-20T04:32:00, -307.202, -229.337, 6.569
2020-04-20T04:33:00, -277.667, -178.914, 46.655
2020-04-20T04:34:00, -234.008, -161.164, 63.261
2020-04-20T04:35:00, -196.974, -213.509, 65.387
2020-04-20T04:36:00, -170.365, -168.285, 125.829
2020-04-20T04:37:00, -150.571, -166.914, 152.592
2020-04-20T04:38:00, -140.551, -195.662, 154.758
2020-04-20T04:39:00, -141.929, -180.373, 173.377
2020-04-20T04:40:00, -140.994, -162.144, 177.241
2020-04-20T04:41:00, -141.846, -138.721, 174.685
2020-04-20T04:42:00, -175.228, -129.119, 146.651
2020-04-20T04:43:00, -191.539, -130.410, 134.391
2020-04-20T04:44:00, -192.387, -129.017, 128.639
2020-04-20T04:45:00, -203.208, -101.648, 131.976
2020-04-20T04:46:00, -185.960, -83.285, 148.833
2020-04-20T04:47:00, -204.263, -54.450, 172.338
2020-04-20T04:48:00, -197.300, -51.761, 192.675
2020-04-20T04:49:00, -187.161, -55.327, 212.290
2020-04-20T04:50:00, -183.212, -38.578, 222.240
2020-04-20T04:51:00, -177.099, -37.960, 217.349
2020-04-20T04:52:00, -151.459, -55.598, 202.314
2020-04-20T04:53:00, -138.786, -53.756, 216.408
2020-04-20T04:54:00, -134.055, -55.511, 215.048
2020-04-20T04:55:00, -118.549, -61.907, 221.804
2020-04-20T04:56:00, -114.755, -63.480, 223.416
2020-04-20T04:57:00, -122.588, -50.773, 208.535
2020-04-20T04:58:00, -122.007, -39.591, 219.923
2020-04-20T04:59:00, -120.930, -76.291, 189.365
2020-04-20T05:00:00, -105.657, -71.664, 188.897
2020-04-20T05:01:00, -91.007, -85.445, 188.873
2020-04-20T05:02:00, -83.811, -81.602, 199.451
2020-04-20T05:03:00, -86.657, -83.039, 190.626
2020-04-20T05:04:00, -97.910, -90.852, 175.403
2020-04-20T05:05:00, -142.004, -97.010, 142.621
2020-04-20T05:06:00, -157.215, -104.741, 131.791
2020-04-20T05:07:00, -164.289, -95.366, 119.938
2020-04-20T05:08:00, -151.691, -51.074, 130.828
2020-04-20T05:09:00, -152.640, -14.271, 130.017
2020-04-20T05:10:00, -128.357, 13.318, 171.617
2020-04-20T05:11:00, -93.223, 38.938, 202.912
2020-04-20T05:12:00, -66.103, 38.681, 199.632
2020-04-20T05:13:00, -49.718, 10.463, 190.183
2020-04-20T05:14:00, -33.402, -7.069, 180.668
2020-04-20T05:15:00, -36.276, -10.613, 170.083
2020-04-20T05:16:00, -40.851, -14.563, 157.434
2020-04-20T05:17:00, -53.763, -6.373, 135.781
2020-04-20T05:18:00, -59.480, 13.210, 126.687
2020-04-20T05:19:00, -63.317, 15.326, 116.498
