L1.dat limited rho,T:1.3, Ux:-50+30,-10,20
year mo dy hr mn sc msc Bx By Bz Ux Uy Uz rho T
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.74600e+00 -3.37600e+00 -1.71200e+00 -5.99024e+02 -2.14550e+01 -4.95500e+00  1.87000e+00  1.13982e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  1.00000e+00  0.00000e+00  0.00000e+00  1.39000e+00 -3.56400e+00 -1.74000e+00 -6.03846e+02 -2.26000e+01 -9.89500e+00  1.76000e+00  1.14936e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  2.00000e+00  0.00000e+00  0.00000e+00  1.28500e+00 -3.37600e+00 -2.00500e+00 -6.02943e+02 -2.23980e+01 -5.68400e+00  1.51300e+00  1.24548e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  3.00000e+00  0.00000e+00  0.00000e+00  2.21600e+00 -3.50500e+00 -9.55000e-01 -6.03904e+02 -1.87500e+01 -6.45000e+00  1.66200e+00  1.19916e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  4.00000e+00  0.00000e+00  0.00000e+00  2.61800e+00 -3.33100e+00 -7.71000e-01 -6.02536e+02 -1.86620e+01  1.93000e-01  1.61300e+00  1.39399e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  5.00000e+00  0.00000e+00  0.00000e+00  2.17700e+00 -3.46700e+00 -1.29800e+00 -6.03654e+02 -1.95010e+01 -1.39000e-01  1.50700e+00  1.29182e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  6.00000e+00  0.00000e+00  0.00000e+00  2.53200e+00 -3.34700e+00 -9.40000e-01 -6.06590e+02 -2.18960e+01  3.30400e+00  1.57100e+00  1.23978e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  7.00000e+00  0.00000e+00  0.00000e+00  3.55800e+00 -2.34100e+00  1.21000e-01 -5.96619e+02 -1.31170e+01  7.97000e+00  1.59500e+00  1.36922e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  8.00000e+00  0.00000e+00  0.00000e+00  3.79700e+00 -2.07300e+00  4.20000e-01 -5.83702e+02 -1.78300e+00  1.27630e+01  1.60500e+00  1.53670e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  9.00000e+00  0.00000e+00  0.00000e+00  3.75000e+00 -2.30100e+00 -4.60000e-01 -5.81020e+02 -3.45300e+00  6.60400e+00  1.69300e+00  1.61349e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  1.00000e+01  0.00000e+00  0.00000e+00  4.04200e+00 -2.43300e+00 -4.65000e-01 -5.80495e+02 -9.09500e+00  3.19400e+00  1.80000e+00  1.56384e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  1.10000e+01  0.00000e+00  0.00000e+00  3.48900e+00 -2.85600e+00 -9.11000e-01 -5.80735e+02 -1.16000e+01  3.98300e+00  1.76600e+00  1.42729e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  1.20000e+01  0.00000e+00  0.00000e+00  3.28900e+00 -2.96500e+00 -3.96000e-01 -5.80371e+02 -8.24200e+00  4.50000e+00  1.63100e+00  1.45677e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  1.30000e+01  0.00000e+00  0.00000e+00  3.58000e+00 -2.63000e+00  1.22000e-01 -5.76976e+02 -3.59700e+00  8.72000e+00  1.71500e+00  1.58858e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  1.40000e+01  0.00000e+00  0.00000e+00  3.50600e+00 -2.76100e+00  3.86000e-01 -5.75753e+02 -2.49000e+00  1.43720e+01  1.81200e+00  1.60943e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  1.50000e+01  0.00000e+00  0.00000e+00  3.25500e+00 -3.02200e+00 -6.30000e-02 -5.78808e+02 -2.35500e+00  1.17140e+01  1.55700e+00  1.61424e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  1.60000e+01  0.00000e+00  0.00000e+00  3.46800e+00 -2.77700e+00 -3.33000e-01 -5.80569e+02 -8.72200e+00  5.73000e+00  1.66600e+00  1.45165e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  1.70000e+01  0.00000e+00  0.00000e+00  3.31200e+00 -2.76500e+00 -4.54000e-01 -5.81824e+02 -9.60200e+00  6.52800e+00  1.50800e+00  1.46026e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  1.80000e+01  0.00000e+00  0.00000e+00  3.04100e+00 -2.88300e+00 -3.88000e-01 -5.78566e+02 -8.22600e+00  5.88000e+00  1.62800e+00  1.52198e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  1.90000e+01  0.00000e+00  0.00000e+00  3.35900e+00 -2.82000e+00 -4.79000e-01 -5.80578e+02 -1.12110e+01  8.50300e+00  1.61800e+00  1.49382e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  2.00000e+01  0.00000e+00  0.00000e+00  2.92800e+00 -2.81200e+00 -3.78000e-01 -5.81508e+02 -8.38800e+00  1.42000e+00  1.53600e+00  1.46677e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  2.10000e+01  0.00000e+00  0.00000e+00  2.54100e+00 -3.07100e+00 -5.93000e-01 -5.84873e+02 -1.15670e+01  6.60000e-02  1.55400e+00  1.45080e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  2.20000e+01  0.00000e+00  0.00000e+00  3.43300e+00 -2.79600e+00 -5.18000e-01 -5.82173e+02 -1.06590e+01  4.34800e+00  1.54700e+00  1.45238e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  2.30000e+01  0.00000e+00  0.00000e+00  2.40300e+00 -3.05700e+00 -3.21000e-01 -5.84852e+02 -1.17530e+01  6.15800e+00  1.50200e+00  1.63965e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  2.40000e+01  0.00000e+00  0.00000e+00  2.48600e+00 -2.99800e+00 -2.81000e-01 -5.86098e+02 -1.12690e+01  2.84900e+00  1.41300e+00  1.70057e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  2.50000e+01  0.00000e+00  0.00000e+00  2.41100e+00 -2.95800e+00 -6.37000e-01 -5.85648e+02 -1.17050e+01  2.04400e+00  1.39100e+00  1.71768e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  2.60000e+01  0.00000e+00  0.00000e+00  2.62000e+00 -2.74900e+00 -8.32000e-01 -5.81948e+02 -1.22560e+01  2.27000e-01  1.45300e+00  1.73293e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  2.70000e+01  0.00000e+00  0.00000e+00  2.65200e+00 -2.92100e+00 -7.56000e-01 -5.81248e+02 -1.54210e+01 -8.45000e-01  1.63300e+00  1.71458e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  2.80000e+01  0.00000e+00  0.00000e+00  3.52900e+00 -2.08500e+00 -1.26500e+00 -5.79523e+02 -1.26800e+01 -3.47600e+00  1.67900e+00  1.57457e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  2.90000e+01  0.00000e+00  0.00000e+00  2.76900e+00 -3.04600e+00 -6.23000e-01 -5.76036e+02 -1.02350e+01 -3.21800e+00  1.56800e+00  1.42359e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  3.00000e+01  0.00000e+00  0.00000e+00  2.55000e+00 -3.10500e+00 -8.81000e-01 -5.80823e+02 -1.61990e+01  1.73900e+00  1.53800e+00  1.47775e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  3.10000e+01  0.00000e+00  0.00000e+00  2.29400e+00 -3.38000e+00 -7.78000e-01 -5.88224e+02 -1.59560e+01  2.17600e+00  1.47500e+00  1.53081e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  3.20000e+01  0.00000e+00  0.00000e+00  1.80800e+00 -3.49300e+00 -9.33000e-01 -5.88636e+02 -1.97740e+01  8.84500e+00  1.40000e+00  1.31727e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  3.30000e+01  0.00000e+00  0.00000e+00  1.37600e+00 -3.65200e+00 -1.35800e+00 -5.95539e+02 -1.89000e+01 -2.41700e+00  1.49800e+00  1.33962e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  3.40000e+01  0.00000e+00  0.00000e+00  3.27900e+00 -2.81600e+00 -4.94000e-01 -5.96312e+02 -2.19190e+01 -1.48260e+01  1.60300e+00  1.08875e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  3.50000e+01  0.00000e+00  0.00000e+00  3.25900e+00 -2.50300e+00 -3.41000e-01 -5.81371e+02 -1.47720e+01  5.20400e+00  1.34900e+00  1.41538e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  3.60000e+01  0.00000e+00  0.00000e+00  3.68500e+00 -2.27300e+00 -1.06000e-01 -5.70638e+02 -1.20220e+01  9.26000e-01  1.60600e+00  1.44434e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  3.70000e+01  0.00000e+00  0.00000e+00  2.55200e+00 -2.45900e+00 -1.84000e+00 -5.78804e+02 -1.34750e+01 -7.94500e+00  1.49600e+00  1.43991e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  3.80000e+01  0.00000e+00  0.00000e+00  2.30500e+00 -2.73900e+00 -1.56000e+00 -5.85919e+02 -1.87730e+01 -1.11670e+01  1.64200e+00  1.25588e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  3.90000e+01  0.00000e+00  0.00000e+00  2.47300e+00 -2.77100e+00 -1.24000e+00 -5.85110e+02 -1.65120e+01 -4.97500e+00  1.59600e+00  1.32175e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  4.00000e+01  0.00000e+00  0.00000e+00  1.93700e+00 -2.95200e+00 -1.64500e+00 -5.87372e+02 -1.64210e+01 -8.71800e+00  1.62100e+00  1.28473e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  4.10000e+01  0.00000e+00  0.00000e+00  2.04600e+00 -2.16700e+00 -2.56900e+00 -5.91218e+02 -1.76550e+01 -1.64130e+01  1.68700e+00  1.19258e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  4.20000e+01  0.00000e+00  0.00000e+00  2.44500e+00 -2.16600e+00 -2.24100e+00 -5.90182e+02 -1.70720e+01 -1.56400e+01  1.80200e+00  1.22565e+05
  2.00600e+03  1.20000e+01  1.40000e+01  6.00000e+00  4.30000e+01  0.00000e+00  0.00000e+00  2.51400e+00 -2.45400e+00 -2.02400e+00 -5.87457e+02 -1.51830e+01 -1.00250e+01  1.69000e+00  1.30873e+05
