Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
2001 08 30 19 48 08 827       4.49      -3.67       2.97    -444.32     -16.75      11.27       3.79    120743.47
2001 08 30 19 49 12 896       4.66      -2.90       3.62    -443.70     -15.38      13.59       3.69    109904.00
2001 08 30 19 50 15 265       4.26      -3.43       3.75    -443.33     -13.44      15.82       3.61    100763.35
2001 08 30 19 51 09 777       4.79      -2.29       3.65    -444.18      -8.59      16.91       3.55    103557.77
2001 08 30 19 52 30 139       4.52      -2.54       3.67    -441.07     -10.58      12.66       3.63    112721.06
2001 08 30 19 53 20 696       4.61      -3.20       3.10    -442.50     -13.75      11.63       3.84    105181.64
2001 08 30 19 54 33 654       4.45      -3.72       2.77    -440.54     -15.09      11.24       3.82    116867.29
2001 08 30 19 54 55 186       3.13      -1.09       5.43    -446.43      -0.60      21.94       3.73     92287.69
2001 08 30 19 55 59 592       3.56      -2.54       4.63    -445.75      -4.29      25.44       3.48     85447.87
2001 08 30 19 57 39 346       4.64      -4.26       0.49    -439.68     -23.87       3.73       3.64    111082.23
2001 08 30 19 59 04  34       4.92      -3.70       1.45    -435.99     -30.46      -5.40       3.64    123746.61
2001 08 30 20 00 11 630       4.97      -3.76       1.26    -434.87     -28.96      -2.06       3.67    123880.30
2001 08 30 20 00 51  32       3.84      -4.17       2.95    -437.93     -30.95       5.62       4.06    108586.80
2001 08 30 20 01 29 289       4.02      -3.71       3.37    -441.20     -30.58      12.23       4.03     97286.36
2001 08 30 20 02 31 816       4.20      -3.99       2.81    -440.81     -27.40      12.71       3.56    106195.05
2001 08 30 20 03 33 429       4.09      -3.65       2.70    -440.57     -24.90      13.28       3.48    112628.92
2001 08 30 20 04 43 622       4.81      -3.45       2.24    -439.04     -19.38      14.35       3.41    125594.65
2001 08 30 20 05 51 276       3.02      -5.23      -2.10    -447.04     -33.51     -33.74       3.27    143668.39
2001 08 30 20 06 30 970       2.60      -5.56      -1.87    -450.22     -41.34     -20.56       3.20    110514.15
2001 08 30 20 07 31 337       3.49      -5.23      -0.53    -450.17     -40.13     -13.85       2.87    111574.54
2001 08 30 20 09 29 915       4.60      -4.23      -0.25    -441.10     -38.25      -6.91       3.22    118872.25
2001 08 30 20 11 17 485       4.19      -4.61       1.30    -434.01     -33.51       2.35       3.88    139683.59
2001 08 30 20 11 38 596       4.40      -4.32       1.60    -439.79     -27.13       6.37       3.11    156292.99
2001 08 30 20 12 47 656       3.25      -4.77       2.51    -438.43     -30.68       5.48       3.27    142913.23
2001 08 30 20 13 44  28       3.78      -4.48       2.14    -438.97     -33.52       9.14       3.36    131449.00
2001 08 30 20 15 35 178       4.89      -3.51       1.39    -431.43     -26.05       6.81       3.27    154885.56
2001 08 30 20 16 38   8       4.79      -4.08      -0.30    -431.02     -25.83       3.17       3.24    147044.43
2001 08 30 20 16 59 799       4.36      -3.86       2.66    -436.62     -25.93      10.65       3.00    125189.35
2001 08 30 20 17 52 271       4.52      -4.05       2.30    -437.74     -19.38      24.83       2.93    110903.20
2001 08 30 20 18 55 530       4.29      -3.54       3.26    -437.25     -16.28      31.10       3.15     95709.51
2001 08 30 20 19 53 444       4.37      -4.23       2.24    -437.56     -20.84      24.84       3.11     98816.27
2001 08 30 20 20 49 661       3.66      -3.93       3.78    -438.13     -27.57      16.43       3.03    105571.68
2001 08 30 20 20 59 786       3.66      -3.45       4.18    -445.72     -25.72      20.03       2.80     88967.28
2001 08 30 20 22 07 612       4.00      -3.16       4.22    -444.51     -20.11      25.98       2.74     84004.21
2001 08 30 20 23 14 762       3.42      -3.06       4.65    -443.41     -15.02      31.16       2.67     80040.32
