Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
2010 04 04 19 45 28 881       5.47       1.82      -1.92    -482.87     -20.15     -20.04       3.36    132482.24
2010 04 04 19 46 38 750       5.43       1.99      -1.64    -481.13     -12.18     -11.85       3.39    131802.65
2010 04 04 19 48 00 535       5.41       1.57      -2.16    -477.33     -14.79      -5.33       3.79    124304.56
2010 04 04 19 48 56 233       5.55       2.59      -0.97    -478.08     -12.75      -2.88       3.53    127949.00
2010 04 04 19 49 47 647       5.62       2.27      -1.09    -479.57      -9.21      -2.73       3.55    125214.39
2010 04 04 19 50 54 447       5.60       1.67      -1.53    -478.39      -8.32       3.54       3.49    116274.82
2010 04 04 19 52 12  57       5.77       1.42      -1.66    -475.35     -15.31      -0.55       3.89    114489.59
2010 04 04 19 53 08 929       6.00       0.97      -1.29    -475.89     -19.68       1.51       3.72    119437.96
2010 04 04 19 54 23 205       6.08       0.59      -1.02    -473.44     -20.80       2.23       3.92    113057.63
2010 04 04 19 55 28 583       5.88      -0.51      -1.71    -472.53     -26.97       3.83       3.98    119282.70
2010 04 04 19 56 34 698       6.06       0.29      -0.81    -471.50     -24.04       6.07       4.05    110164.99
2010 04 04 19 57 42 639       6.12       0.00      -0.40    -470.16     -20.62       8.28       4.02    108359.07
2010 04 04 19 58 40 180       6.29       0.14       0.17    -470.57     -20.22      10.14       4.07    111216.62
2010 04 04 19 59 20 134       5.42       0.78       2.84    -473.97     -15.50      18.50       3.94    108713.90
2010 04 04 20 00 13   2       5.92       0.26       1.31    -475.19     -12.45      25.81       3.86    110615.08
2010 04 04 20 01 28 606       6.07       0.25       0.96    -472.53     -17.90      21.10       4.23    114969.08
2010 04 04 20 02 30 508       6.03       0.23       0.53    -472.21     -19.98      18.11       4.44    106528.65
2010 04 04 20 03 40 317       6.14      -0.07       0.48    -470.55     -18.36      19.56       4.50     95336.83
2010 04 04 20 04 47 153       6.05      -0.86      -0.52    -469.41     -24.60      13.80       3.97    107299.81
2010 04 04 20 05 53 230       6.22      -0.11      -0.16    -468.39     -26.70      13.72       4.44     93277.77
2010 04 04 20 06 43 790       6.19      -0.73      -0.49    -469.97     -26.97       8.47       3.92    100412.52
2010 04 04 20 07 59 448       6.10      -0.62      -0.19    -467.36     -24.98      15.08       4.26     96676.80
2010 04 04 20 08 51 736       5.94      -0.92      -1.33    -468.64     -25.90       8.71       4.01    105066.98
2010 04 04 20 09 41 692       5.92       0.62      -1.66    -470.32     -27.13       1.03       3.71    114647.53
2010 04 04 20 10 41 900       5.81      -0.21      -1.38    -470.29     -27.99       1.16       3.82    110779.11
2010 04 04 20 11 33 484       5.75       0.44      -2.00    -471.70     -24.41      -2.21       3.83    104573.72
2010 04 04 20 12 46 502       6.11       0.60      -0.06    -469.51     -19.31       5.86       4.29     94745.62
2010 04 04 20 13 42 580       6.03       0.69      -1.08    -470.17     -17.55       5.62       4.14    102772.68
2010 04 04 20 13 45 918       4.88      -0.50      -3.67    -479.87     -28.20     -14.51       3.64    114835.52
2010 04 04 20 14 34 260       5.62       0.31      -2.36    -481.92     -34.29     -22.00       3.40    119849.04
2010 04 04 20 16 16 666       5.54       1.50      -1.99    -474.56     -23.32     -12.41       3.39    118481.05
2010 04 04 20 17 23  35       5.79       1.96      -0.65    -473.47     -10.52      -6.54       3.54    109224.48
2010 04 04 20 18 24 270       5.66       2.54      -0.06    -473.26      -4.32       3.86       3.71    101958.41
2010 04 04 20 19 26 831       5.44       2.41       1.57    -472.83      -3.77       5.66       3.80     98799.62
2010 04 04 20 20 20 785       5.09       2.84       1.80    -473.86      -3.73      12.21       3.63    101257.84
2010 04 04 20 20 49 935       5.26       2.56       1.84    -479.17       9.60      13.41       3.60    107039.82
2010 04 04 20 21 27 830       3.82       0.74       4.65    -483.06      -9.62      35.85       3.56    133145.48
2010 04 04 20 22 13 919       3.72       1.87       3.87    -485.53      -3.34      37.28       3.67    130428.83
2010 04 04 20 23 42 694       4.68       1.30       3.66    -480.44      -6.30      33.73       3.87    112225.17
2010 04 04 20 24 42 483       4.18       1.60       4.12    -480.48      -7.61      33.46       3.81    116602.58
2010 04 04 20 25 20 261       3.65       0.46       4.88    -484.40      -5.54      36.44       3.73    107835.97
2010 04 04 20 26 00 542       3.79       0.54       4.87    -487.94      -7.19      39.37       3.56    112049.30
