Corrected IMF based on L1.dat
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
 1998  7  7  0 34  4 871       0.87      -4.73       1.12    -531.82     -45.88     -16.78       1.37     27797.05
 1998  7  7  0 35  9 495       1.12      -4.65       1.24    -530.58     -44.52     -18.14       1.44     22609.12
 1998  7  7  0 36 23 188       1.17      -4.63       1.13    -526.95     -41.37     -17.14       1.36     27949.82
 1998  7  7  0 37 14 645       1.02      -4.65       1.26    -529.21     -39.14     -18.66       1.40     21514.67
 1998  7  7  0 38  3 193       0.87      -4.70       1.27    -532.27     -41.02     -17.51       1.42     27938.56
 1998  7  7  0 38 59 578       0.72      -4.74       1.25    -533.24     -43.21     -16.39       1.44     24198.99
 1998  7  7  0 39 54 431       0.48      -4.72       1.22    -534.63     -51.23     -16.35       1.39     29330.52
 1998  7  7  0 40 58 828       0.51      -4.70       1.24    -533.44     -52.11     -14.32       1.45     23764.25
 1998  7  7  0 41 55 229       0.57      -4.67       1.30    -534.41     -54.14     -15.19       1.27     25143.10
 1998  7  7  0 43  9 828       0.80      -4.65       1.33    -530.49     -53.06     -14.66       1.38     21274.75
 1998  7  7  0 44 14 449       0.70      -4.64       1.38    -529.26     -51.32     -12.84       1.40     26190.70
 1998  7  7  0 45 32  70       1.22      -4.51       1.42    -524.63     -50.23     -11.51       1.36     28979.68
 1998  7  7  0 46 42 199       0.99      -4.55       1.52    -522.00     -50.51     -10.66       1.36     28614.19
 1998  7  7  0 47 31 426       1.10      -4.52       1.57    -524.80     -50.04      -9.14       1.41     27485.66
 1998  7  7  0 48 19 261       1.04      -4.53       1.53    -527.99     -48.09      -8.32       1.50     28392.75
 1998  7  7  0 49 12 119       1.01      -4.55       1.50    -529.88     -47.70     -10.30       1.52     32131.16
 1998  7  7  0 50 26 581       1.01      -4.57       1.42    -526.06     -48.51     -11.89       1.43     24740.07
 1998  7  7  0 51 35 470       1.30      -4.49       1.53    -523.74     -50.63     -10.86       1.25     29873.72
 1998  7  7  0 52 48   0       1.29      -4.49       1.55    -520.51     -50.53     -12.08       1.27     28841.50
 1998  7  7  0 53 50 864       1.44      -4.47       1.44    -519.77     -49.02      -8.71       1.26     29842.71
 1998  7  7  0 54 47  38       1.27      -4.48       1.52    -520.75     -50.61     -10.18       1.29     28217.25
 1998  7  7  0 55 37 970       1.14      -4.59       1.39    -523.09     -49.59     -14.33       1.13     32908.79
 1998  7  7  0 56  3 163       1.21      -4.61       1.29    -532.27     -50.50     -19.32       1.20     30774.13
 1998  7  7  0 57 14 313       1.12      -4.58       1.43    -529.30     -52.96     -15.25       1.12     30938.02
 1998  7  7  0 58 15 561       1.06      -4.56       1.53    -528.97     -50.96     -11.78       1.25     24496.38
 1998  7  7  0 59 18 735       1.13      -4.48       1.67    -528.13     -49.31     -11.59       1.31     24666.56
 1998  7  7  1  0 24 744       1.13      -4.63       1.38    -526.54     -48.32     -12.46       1.32     28235.25
 1998  7  7  1  1 28 479       1.11      -4.62       1.31    -525.57     -49.65     -12.43       1.39     26035.39
 1998  7  7  1  2 28  28       1.14      -4.56       1.46    -525.68     -51.32     -13.02       1.31     26491.83
 1998  7  7  1  3 30 449       1.24      -4.54       1.47    -525.05     -50.04     -12.94       1.29     27091.06
 1998  7  7  1  4 33 206       1.19      -4.57       1.48    -524.33     -48.60     -12.26       1.30     25590.64
 1998  7  7  1  5 31 280       1.04      -4.52       1.62    -524.83     -49.78     -12.09       1.11     28675.36
 1998  7  7  1  6 37 662       1.14      -4.51       1.60    -523.17     -49.54      -8.46       1.34     25338.26
 1998  7  7  1  7 35 858       1.22      -4.50       1.60    -523.64     -48.65      -8.83       1.37     28530.00
 1998  7  7  1  8 37  60       1.10      -4.57       1.56    -523.33     -48.83     -10.26       1.43     26029.07
 1998  7  7  1  9 50 364       1.36      -4.52       1.43    -519.90     -47.19     -13.34       1.35     30605.35
 1998  7  7  1 10 51 383       1.07      -4.60       1.44    -519.64     -47.99     -12.68       1.48     28566.16
 1998  7  7  1 11 47 120       1.27      -4.54       1.45    -520.73     -45.58     -12.13       1.33     31489.12
 1998  7  7  1 12 44 445       1.58      -4.35       1.72    -521.42     -46.65     -13.32       1.30     26776.79
 1998  7  7  1 14 20 287       1.87      -4.26       1.83    -512.35     -44.66      -7.16       1.38     27809.34
 1998  7  7  1 15 20  26       1.96      -4.21       1.84    -512.41     -45.66      -7.33       1.34     31473.84
 1998  7  7  1 16 21 116       1.96      -4.16       1.87    -512.14     -43.67      -5.24       1.27     27752.73
 1998  7  7  1 17 22 267       1.86      -4.29       1.81    -511.86     -43.87      -4.66       1.29     27850.04
 1998  7  7  1 18 11 355       1.36      -4.40       1.90    -514.58     -46.54      -5.14       1.37     30811.83
 1998  7  7  1 18 57  68       1.21      -4.53       1.69    -518.19     -48.08      -5.76       1.46     29188.30
 1998  7  7  1 20  5 178       1.62      -4.34       1.86    -516.13     -46.31      -5.53       1.38     21410.32
 1998  7  7  1 21 29 188       1.92      -4.22       1.91    -510.15     -42.30      -4.96       1.22     18204.27
 1998  7  7  1 22 18  30       1.20      -4.69       1.59    -512.91     -40.86      -8.66       1.18     23772.43
