Produced from ace_2019-08-04.txt
year  mo  dy  hr  mn  sc msc Bx By Bz Ux Uy Uz rho T
#START
2019  8  4  0  0  0   0   2.599870.6  -0.263983  -0.639400  352.16390 0.0 0.0    2.88484    41929.8
2019  8  4  0  1  0   0   2.302432.6  -0.606372  -0.942015  349.16410 0.0 0.0    2.60576    38035.1
2019  8  4  0  2  0   0   2.559857.6  -0.380892  -0.712928  351.58150 0.0 0.0    2.65369    43667.8
2019  8  4  0  3  0   0   2.476255.6  -0.492415  -0.874922  353.09300 0.0 0.0    2.89899    49129.6
2019  8  4  0  4  0   0   2.485784.6  -0.310904  -0.950748  345.17900 0.0 0.0    2.54019    36487.4
2019  8  4  0  5  0   0   2.529988.6  -0.262981  -0.789296  344.35800 0.0 0.0    2.56277    45021.0
2019  8  4  0  6  0   0   2.540756.6  -0.198270  -0.736119  354.84820 0.0 0.0    3.34335    69952.7
2019  8  4  0  7  0   0   2.672151.6  -0.084917  -0.553996  353.10710 0.0 0.0    3.05278    48918.6
2019  8  4  0  8  0   0   2.695803.6  -0.011331  -0.640249  347.26540 0.0 0.0    2.78189    37762.9
2019  8  4  0  9  0   0   2.654037.6   0.038266  -0.447282  357.37630 0.0 0.0    3.56730    63035.3
2019  8  4  0 10  0   0   2.749458.6  -0.034839  -0.267682  351.20740 0.0 0.0    3.17327    42434.8
2019  8  4  0 11  0   0   2.730835.6   0.197948  -0.104145  351.26400 0.0 0.0    2.99319    42052.8
2019  8  4  0 12  0   0   2.748501.6   0.104426  -0.300806  353.59050 0.0 0.0    3.04334    43117.6
2019  8  4  0 13  0   0   2.742231.6   0.102087  -0.205116  351.83870 0.0 0.0    2.94191    44189.9
2019  8  4  0 14  0   0   2.751052.6   0.091374  -0.231086  352.18770 0.0 0.0    3.08481    41693.8
2019  8  4  0 15  0   0   2.772963.6   0.063443  -0.274896  352.24600 0.0 0.0    3.10439    41356.7
2019  8  4  0 16  0   0   2.774013.6   0.086417  -0.362294  348.57970 0.0 0.0    2.66596    39207.0
2019  8  4  0 17  0   0   2.798621.6   0.125846  -0.323990  353.73010 0.0 0.0    3.04387    47914.1
2019  8  4  0 18  0   0   2.804415.6   0.139400  -0.310932  353.84810 0.0 0.0    3.09667    46417.7
2019  8  4  0 19  0   0   2.786271.6   0.152044  -0.304846  352.53660 0.0 0.0    3.19901    43010.2
2019  8  4  0 20  0   0   2.728446.6   0.517928  -0.417024  351.62380 0.0 0.0    3.20983    42091.0
2019  8  4  0 21  0   0   2.840343.6  -0.265236  -0.527646  346.24470 0.0 0.0    2.94475    45357.3
2019  8  4  0 22  0   0   2.786545.6  -0.417465  -0.561916  345.31190 0.0 0.0    2.61982    61208.8
2019  8  4  0 23  0   0   2.852948.6  -0.297901  -0.550605  354.84590 0.0 0.0    2.66594    75872.9
2019  8  4  0 24  0   0   2.923238.6  -0.222492  -0.456018  350.05160 0.0 0.0    3.10324    56532.0
2019  8  4  0 25  0   0   2.871688.6  -0.281520  -0.447670  334.82530 0.0 0.0    1.82625    26553.8
2019  8  4  0 26  0   0   2.472752.6  -0.825626  -0.927143  349.86250 0.0 0.0    3.03132    63537.6
2019  8  4  0 27  0   0   2.300181.6  -1.050589  -1.063459  359.85600 0.0 0.0    2.96292    64936.4
2019  8  4  0 28  0   0   2.431674.6  -1.061400  -0.876595  355.92870 0.0 0.0    3.24091    57701.1
2019  8  4  0 29  0   0   2.368653.6  -0.981510  -0.984983  353.88800 0.0 0.0    2.81078    42239.2
2019  8  4  0 30  0   0   2.464345.6  -0.754838  -0.956031  354.76080 0.0 0.0    2.75204    37767.9
2019  8  4  0 31  0   0   2.404480.6  -0.861467  -0.905658  352.62090 0.0 0.0    3.09740    41941.3
2019  8  4  0 32  0   0   2.123787.6  -1.312123  -1.388618  354.80910 0.0 0.0    3.01851    42459.5
2019  8  4  0 33  0   0   1.984784.6  -1.248428  -1.537398  352.39680 0.0 0.0    2.59807    37309.9
2019  8  4  0 34  0   0   2.152930.6  -0.856538  -1.498705  353.92040 0.0 0.0    2.66403    36311.7
2019  8  4  0 35  0   0   2.380025.6  -0.957199  -0.948804  351.10950 0.0 0.0    2.88530    40441.6
2019  8  4  0 36  0   0   2.180039.6  -0.764879  -1.304772  348.29640 0.0 0.0    2.90126    38202.8
2019  8  4  0 37  0   0   1.835732.6  -0.937842  -1.660427  353.86260 0.0 0.0    3.03311    40972.1
