Date_UTC,dbn_nez,dbe_nez,dbz_nez
2003-10-29T06:00:00, -72.129, -76.750, -188.600
2003-10-29T06:01:00, -105.420, -94.168, -137.590
2003-10-29T06:02:00, -157.107, -144.247, -65.584
2003-10-29T06:03:00, -186.851, -138.679, -7.575
2003-10-29T06:04:00, -203.471, -117.692, -88.566
2003-10-29T06:05:00, -185.040, -161.362, -152.557
2003-10-29T06:06:00, -209.516, -201.199, -185.548
2003-10-29T06:07:00, -283.225, -226.565, -131.540
2003-10-29T06:08:00, -272.449, -209.891, -67.532
2003-10-29T06:09:00, -280.253, -190.438, -33.525
2003-10-29T06:10:00, -249.456, -170.893, -23.518
2003-10-29T06:11:00, -238.773, -126.060, -12.512
2003-10-29T06:12:00, -506.642, -252.454, 197.493
2003-10-29T06:13:00, -977.844, -303.066, 643.498
2003-10-29T06:19:00, -1247.355, -174.815, -302.483
2003-10-29T06:20:00, -1102.864, -172.327, -262.483
2003-10-29T06:21:00, -1168.703, -105.548, -250.483
2003-10-29T06:22:00, -1261.178, -82.248, -215.488
2003-10-29T06:23:00, -1087.092, -63.574, -263.490
2003-10-29T06:24:00, -927.952, -109.934, -529.493
2003-10-29T06:25:00, -662.204, -114.926, -523.496
2003-10-29T06:26:00, -526.144, -98.256, -503.501
2003-10-29T06:27:00, -571.588, -47.275, -518.506
2003-10-29T06:28:00, -588.297, -29.438, -512.513
2003-10-29T06:29:00, -467.274, 13.002, -546.520
2003-10-29T06:30:00, -393.473, 42.327, -605.529
2003-10-29T06:31:00, -374.847, 46.756, -658.538
2003-10-29T06:32:00, -444.721, 53.877, -577.548
2003-10-29T06:33:00, -538.253, 73.740, -495.560
2003-10-29T06:34:00, -658.313, 126.365, -382.572
2003-10-29T06:35:00, -715.157, 166.628, -326.585
2003-10-29T06:36:00, -652.943, 168.467, -294.599
2003-10-29T06:37:00, -632.111, 172.517, -346.614
2003-10-29T06:38:00, -703.901, 179.068, -376.630
2003-10-29T06:39:00, -523.581, 267.486, -411.646
2003-10-29T06:48:00, -1800.961, -196.895, -649.832
2003-10-29T06:49:00, -1870.930, -140.720, -358.856
2003-10-29T06:50:00, -1928.650, -181.094, -934.880
2003-10-29T06:51:00, -1636.255, 3.582, -1344.905
2003-10-29T06:52:00, -1498.299, -83.552, -1335.930
2003-10-29T06:53:00, -1427.084, 6.613, -1306.955
2003-10-29T07:00:00, -2066.958, -830.031, -1381.151
2003-10-29T07:01:00, -2203.115, -661.100, -1302.181
2003-10-29T07:02:00, -2093.615, -747.359, -1306.211
2003-10-29T07:03:00, -1923.121, -970.880, -1304.243
2003-10-29T07:04:00, -1576.474, -1134.267, -1335.275
2003-10-29T07:05:00, -1546.939, -1061.802, -1156.309
2003-10-29T07:06:00, -1272.019, -1128.727, -1259.344
2003-10-29T07:07:00, -1380.321, -1084.021, -1191.379
2003-10-29T07:08:00, -1493.986, -1038.835, -1123.415
2003-10-29T07:09:00, -1606.406, -994.318, -1055.451
2003-10-29T07:10:00, -1550.236, -826.164, -811.488
2003-10-29T07:11:00, -1547.553, -1022.743, -672.526
2003-10-29T07:12:00, -1348.401, -1021.551, -620.564
2003-10-29T07:13:00, -1283.837, -1180.780, -639.604
2003-10-29T07:14:00, -1218.991, -1340.966, -658.643
2003-10-29T07:15:00, -1202.611, -1482.276, -703.682
2003-10-29T07:16:00, -1188.533, -1647.244, -725.721
2003-10-29T07:17:00, -1127.603, -1676.013, -681.761
2003-10-29T07:18:00, -944.269, -1747.418, -733.801
2003-10-29T07:19:00, -806.618, -1739.605, -761.841
2003-10-29T07:20:00, -765.135, -1741.849, -822.884
2003-10-29T07:21:00, -669.625, -1715.354, -869.925
2003-10-29T07:22:00, -609.648, -1629.564, -729.965
2003-10-29T07:23:00, -471.040, -1579.701, -712.004
2003-10-29T07:24:00, -276.308, -1567.295, -745.043
2003-10-29T07:25:00, -342.309, -1639.340, -694.082
2003-10-29T07:26:00, -205.349, -1726.732, -807.120
2003-10-29T07:27:00, -168.371, -1647.834, -705.158
2003-10-29T07:28:00, -98.916, -1520.570, -758.196
2003-10-29T07:29:00, -101.892, -1527.776, -914.233
2003-10-29T07:30:00, -94.426, -1493.222, -914.269
2003-10-29T07:31:00, -12.732, -1472.947, -927.304
2003-10-29T07:32:00, -39.558, -1431.970, -982.341
2003-10-29T07:33:00, -100.776, -1429.493, -971.377
2003-10-29T07:34:00, -175.402, -1399.715, -817.413
2003-10-29T07:35:00, -222.839, -1474.534, -746.450
2003-10-29T07:36:00, -180.991, -1432.795, -681.488
2003-10-29T07:37:00, -121.426, -1370.080, -554.525
2003-10-29T07:38:00, -132.161, -1247.014, -485.561
2003-10-29T07:39:00, -49.986, -1116.965, -525.602
2003-10-29T07:40:00, -34.682, -1084.223, -501.639
2003-10-29T07:41:00, -103.957, -1086.241, -525.676
2003-10-29T07:42:00, -61.355, -1029.652, -414.712
2003-10-29T07:43:00, -108.211, -970.658, -261.750
2003-10-29T07:44:00, -187.740, -966.352, -334.786
2003-10-29T07:45:00, -184.791, -850.659, -415.822
2003-10-29T07:46:00, -81.656, -759.210, -427.857
2003-10-29T07:47:00, -57.944, -824.165, -304.893
2003-10-29T07:48:00, -91.785, -763.351, -212.928
2003-10-29T07:49:00, -33.295, -704.080, -160.962
2003-10-29T07:50:00, -100.184, -647.956, -127.997
2003-10-29T07:51:00, -87.488, -658.793, -50.031
2003-10-29T07:52:00, -99.787, -607.177, -82.064
2003-10-29T07:53:00, -74.351, -573.477, -47.097
2003-10-29T07:54:00, -66.830, -556.632, -75.129
2003-10-29T07:55:00, -87.470, -519.000, -52.161
2003-10-29T07:56:00, -138.474, -491.518, -1.191
2003-10-29T07:57:00, -134.313, -470.460, 28.778
2003-10-29T07:58:00, -129.382, -424.117, 16.744
2003-10-29T07:59:00, -44.091, -377.686, -26.284
2003-10-29T08:00:00, 11.502, -319.280, -13.312
2003-10-29T08:01:00, 31.935, -345.542, -64.339
2003-10-29T08:02:00, 52.753, -327.840, 20.634
2003-10-29T08:03:00, 1.255, -295.283, 36.608
2003-10-29T08:04:00, 18.236, -299.610, -40.416
2003-10-29T08:05:00, 5.139, -304.604, 16.559
2003-10-29T08:06:00, -11.977, -264.867, 44.534
2003-10-29T08:07:00, -37.813, -241.316, 2.511
