Date_UTC,dbn_nez,dbe_nez,dbz_nez
2006-12-14T12:00:00, -17.731, 6.558, 1.807
2006-12-14T12:01:00, -18.995, 5.883, 1.805
2006-12-14T12:02:00, -19.972, 6.165, 1.803
2006-12-14T12:03:00, -19.989, 6.158, 1.800
2006-12-14T12:04:00, -20.296, 5.194, 1.798
2006-12-14T12:05:00, -19.642, 3.943, 1.796
2006-12-14T12:06:00, -18.703, 3.649, 0.794
2006-12-14T12:07:00, -17.763, 3.356, 0.792
2006-12-14T12:08:00, -17.113, 2.105, 1.790
2006-12-14T12:09:00, -15.791, -0.391, 0.787
2006-12-14T12:10:00, -16.673, -3.269, 0.785
2006-12-14T12:11:00, -17.937, -3.942, 0.783
2006-12-14T12:12:00, -17.957, -3.947, 0.781
2006-12-14T12:13:00, -17.018, -4.239, 0.779
2006-12-14T12:14:00, -17.036, -4.244, 0.777
2006-12-14T12:15:00, -18.298, -4.918, 0.776
2006-12-14T12:16:00, -17.360, -5.210, 0.774
2006-12-14T12:17:00, -17.090, -4.257, 0.772
2006-12-14T12:18:00, -17.108, -4.261, 1.770
2006-12-14T12:19:00, -15.210, -4.841, 1.768
2006-12-14T12:20:00, -13.024, -4.464, 1.767
2006-12-14T12:21:00, -12.372, -5.712, 1.765
2006-12-14T12:22:00, -12.008, -7.919, 1.764
2006-12-14T12:23:00, -13.271, -8.592, 1.762
2006-12-14T12:24:00, -14.249, -8.307, 1.761
2006-12-14T12:25:00, -14.266, -8.311, 1.760
2006-12-14T12:26:00, -15.527, -8.984, 1.758
2006-12-14T12:27:00, -16.214, -7.741, 1.757
2006-12-14T12:28:00, -15.941, -6.787, 1.756
2006-12-14T12:29:00, -15.670, -5.832, 1.755
2006-12-14T12:30:00, -16.643, -5.548, 1.754
2006-12-14T12:31:00, -17.328, -4.305, 1.757
2006-12-14T12:32:00, -15.811, -2.681, 1.757
2006-12-14T12:33:00, -14.582, -2.014, 2.756
2006-12-14T12:34:00, -14.598, -2.016, 2.755
2006-12-14T12:35:00, -14.614, -2.019, 2.755
2006-12-14T12:36:00, -13.098, -0.393, 2.754
2006-12-14T12:37:00, -13.114, -0.394, 2.753
2006-12-14T12:38:00, -12.170, -0.684, 2.753
2006-12-14T12:39:00, -10.272, -1.262, 2.752
2006-12-14T12:40:00, -10.287, -1.263, 2.752
2006-12-14T12:41:00, -10.302, -1.265, 2.752
2006-12-14T12:42:00, -9.358, -1.554, 2.751
2006-12-14T12:43:00, -10.908, -3.182, 2.751
2006-12-14T12:44:00, -10.634, -2.226, 2.751
2006-12-14T12:45:00, -10.072, -0.312, 2.751
2006-12-14T12:46:00, -9.129, -0.601, 2.751
2006-12-14T12:47:00, -8.475, -1.847, 3.751
2006-12-14T12:48:00, -9.736, -2.519, 3.751
2006-12-14T12:49:00, -10.039, -3.478, 2.751
2006-12-14T12:50:00, -10.053, -3.479, 2.752
2006-12-14T12:51:00, -11.025, -3.193, 2.752
2006-12-14T12:52:00, -9.791, -2.526, 3.753
2006-12-14T12:53:00, -9.804, -2.528, 3.753
2006-12-14T12:54:00, -8.573, -1.861, 3.754
2006-12-14T12:55:00, -7.629, -2.152, 3.755
2006-12-14T12:56:00, -6.972, -3.401, 3.756
2006-12-14T12:57:00, -8.231, -4.073, 3.757
2006-12-14T12:58:00, -9.200, -3.788, 3.759
2006-12-14T12:59:00, -8.349, -0.919, 3.760
2006-12-14T13:00:00, -5.201, -0.830, 3.761
2006-12-14T13:01:00, -3.873, -3.327, 4.763
2006-12-14T13:02:00, -3.885, -3.331, 4.765
2006-12-14T13:03:00, -4.185, -4.292, 3.766
2006-12-14T13:04:00, -5.441, -4.965, 3.768
2006-12-14T13:05:00, -5.741, -5.927, 3.770
2006-12-14T13:06:00, -6.039, -6.888, 3.772
2006-12-14T13:07:00, -6.432, -4.689, 3.773
2006-12-14T13:08:00, -6.732, -5.651, 3.775
2006-12-14T13:09:00, -7.987, -6.324, 3.781
2006-12-14T13:10:00, -7.710, -5.371, 3.783
2006-12-14T13:11:00, -7.720, -5.376, 4.786
2006-12-14T13:12:00, -8.398, -4.135, 4.788
2006-12-14T13:13:00, -5.536, -5.004, 4.790
2006-12-14T13:14:00, -5.546, -5.009, 4.793
2006-12-14T13:15:00, -6.131, -6.929, 4.796
2006-12-14T13:16:00, -7.100, -6.648, 4.799
2006-12-14T13:17:00, -8.066, -6.366, 4.802
2006-12-14T13:18:00, -9.991, -5.796, 3.805
2006-12-14T13:19:00, -10.093, -2.642, 3.808
2006-12-14T13:20:00, -6.940, -2.556, 4.812
2006-12-14T13:21:00, -3.118, -3.717, 5.815
2006-12-14T13:22:00, -3.702, -5.640, 4.819
2006-12-14T13:23:00, -5.337, -4.116, 4.823
2006-12-14T13:24:00, -5.057, -3.167, 4.827
2006-12-14T13:25:00, -5.066, -3.178, 4.832
2006-12-14T13:26:00, -6.987, -2.612, 4.836
2006-12-14T13:27:00, -8.240, -3.293, 4.841
2006-12-14T13:28:00, -7.958, -2.348, 4.846
2006-12-14T13:29:00, -7.966, -2.361, 4.851
2006-12-14T13:30:00, -7.973, -2.375, 4.857
2006-12-14T13:31:00, -6.733, -1.721, 4.863
2006-12-14T13:32:00, -6.071, -2.981, 4.869
2006-12-14T13:33:00, -6.076, -2.996, 4.875
2006-12-14T13:34:00, -7.037, -2.722, 4.881
2006-12-14T13:35:00, -6.753, -1.780, 4.888
2006-12-14T13:36:00, -6.757, -1.796, 4.895
2006-12-14T13:37:00, -8.012, -2.482, 4.902
2006-12-14T13:38:00, -8.684, -1.253, 3.909
2006-12-14T13:39:00, -10.028, 1.220, 3.916
2006-12-14T13:40:00, -9.456, 3.118, 3.923
2006-12-14T13:41:00, -8.214, 3.769, 4.931
2006-12-14T13:42:00, -6.972, 4.420, 4.939
2006-12-14T13:43:00, -6.307, 3.155, 4.947
2006-12-14T13:44:00, -6.021, 4.093, 3.955
2006-12-14T13:45:00, -6.981, 4.361, 3.963
2006-12-14T13:46:00, -6.984, 4.339, 3.972
2006-12-14T13:47:00, -5.454, 5.944, 3.984
2006-12-14T13:48:00, -4.497, 5.634, 3.993
2006-12-14T13:49:00, -5.749, 4.941, 4.002
2006-12-14T13:50:00, -6.708, 5.206, 3.011
2006-12-14T13:51:00, -5.753, 4.893, 3.020
2006-12-14T13:52:00, -3.839, 4.292, 3.030
2006-12-14T13:53:00, -4.704, 1.393, 3.039
2006-12-14T13:54:00, -4.994, 0.408, 3.049
2006-12-14T13:55:00, -5.285, -0.576, 2.059
2006-12-14T13:56:00, -8.065, -2.901, 2.069
2006-12-14T13:57:00, -9.312, -3.600, 2.079
2006-12-14T13:58:00, -9.600, -4.589, 1.089
2006-12-14T13:59:00, -9.981, -2.417, 1.099
2006-12-14T14:00:00, -9.025, -2.737, 2.110
2006-12-14T14:01:00, -7.492, -1.145, 2.121
2006-12-14T14:02:00, -5.867, -2.713, 2.132
2006-12-14T14:03:00, -6.824, -2.460, 1.143
2006-12-14T14:04:00, -7.111, -3.453, 1.155
2006-12-14T14:05:00, -8.070, -3.202, 1.166
2006-12-14T14:06:00, -6.823, -2.568, 1.178
2006-12-14T14:07:00, -5.193, -4.141, 1.191
2006-12-14T14:08:00, -5.482, -5.137, 1.203
2006-12-14T14:09:00, -5.768, -6.134, 0.216
2006-12-14T14:10:00, -7.302, -7.801, 0.229
2006-12-14T14:11:00, -12.572, -11.477, -0.757
2006-12-14T14:12:00, -18.408, -6.629, -1.744
2006-12-14T14:13:00, -17.254, -2.841, -1.731
2006-12-14T14:14:00, -14.857, 1.615, -0.718
2006-12-14T14:15:00, 7.372, 9.503, 0.294
2006-12-14T14:16:00, 8.410, -14.873, 1.309
2006-12-14T14:17:00, 4.760, -30.528, 0.322
2006-12-14T14:18:00, 0.347, -41.777, -3.663
2006-12-14T14:19:00, -5.886, -55.612, -4.650
2006-12-14T14:20:00, -14.510, -63.507, -7.636
2006-12-14T14:21:00, -26.479, -65.174, -8.623
2006-12-14T14:22:00, -28.952, -45.681, -10.610
2006-12-14T14:23:00, -20.905, -50.239, -8.596
2006-12-14T14:24:00, -19.657, -49.621, -8.583
2006-12-14T14:25:00, -16.593, -56.859, -8.566
2006-12-14T14:26:00, -12.274, -52.986, -9.553
2006-12-14T14:27:00, -9.306, -57.065, -9.540
2006-12-14T14:28:00, -18.784, -57.398, -10.527
2006-12-14T14:29:00, -16.660, -43.470, -11.515
2006-12-14T14:30:00, -7.461, -44.203, -10.502
2006-12-14T14:31:00, -7.836, -42.059, -10.489
2006-12-14T14:32:00, -1.891, -39.727, -9.476
2006-12-14T14:33:00, -3.132, -40.455, -10.464
2006-12-14T14:34:00, 5.773, -52.590, -11.451
2006-12-14T14:35:00, -2.940, -57.336, -11.438
2006-12-14T14:36:00, -0.249, -51.941, -12.424
2006-12-14T14:37:00, 1.386, -53.536, -13.411
2006-12-14T14:38:00, 1.484, -56.761, -13.398
2006-12-14T14:39:00, -1.577, -60.079, -14.385
2006-12-14T14:40:00, -2.443, -73.457, -15.371
2006-12-14T14:41:00, -10.774, -80.412, -16.358
2006-12-14T14:42:00, -12.311, -92.546, -18.345
2006-12-14T14:43:00, -22.175, -101.130, -20.332
2006-12-14T14:44:00, -28.403, -114.985, -22.319
2006-12-14T14:45:00, -42.294, -126.536, -25.306
2006-12-14T14:46:00, -47.937, -128.041, -28.292
2006-12-14T14:47:00, -53.962, -127.339, -28.280
2006-12-14T14:48:00, -50.986, -131.434, -28.267
2006-12-14T14:49:00, -50.505, -136.869, -29.255
2006-12-14T14:50:00, -59.224, -152.066, -31.244
2006-12-14T14:51:00, -69.662, -162.568, -34.232
2006-12-14T14:52:00, -78.271, -160.045, -37.221
2006-12-14T14:53:00, -82.667, -160.879, -38.210
2006-12-14T14:54:00, -73.168, -150.231, -39.199
2006-12-14T14:55:00, -71.818, -152.794, -38.189
2006-12-14T14:56:00, -71.426, -155.068, -40.179
2006-12-14T14:57:00, -70.262, -151.310, -41.170
2006-12-14T14:58:00, -65.555, -149.661, -42.161
2006-12-14T14:59:00, -64.203, -152.224, -43.153
2006-12-14T15:00:00, -60.074, -152.490, -44.145
2006-12-14T15:01:00, -57.669, -158.507, -45.137
2006-12-14T15:02:00, -61.588, -164.707, -47.129
2006-12-14T15:03:00, -58.890, -159.321, -50.118
2006-12-14T15:04:00, -51.115, -154.421, -51.111
2006-12-14T15:05:00, -55.230, -164.742, -51.105
2006-12-14T15:06:00, -55.113, -157.538, -53.098
2006-12-14T15:07:00, -48.008, -151.394, -54.092
2006-12-14T15:08:00, -47.511, -146.395, -53.086
2006-12-14T15:09:00, -43.946, -138.141, -53.080
2006-12-14T15:10:00, -40.576, -134.007, -52.075
2006-12-14T15:11:00, -40.366, -129.967, -52.070
2006-12-14T15:12:00, -34.214, -123.536, -51.065
2006-12-14T15:13:00, -33.047, -119.782, -50.060
2006-12-14T15:14:00, -27.574, -122.547, -50.056
2006-12-14T15:15:00, -28.710, -126.456, -50.052
2006-12-14T15:16:00, -28.489, -111.980, -49.048
2006-12-14T15:17:00, -21.094, -104.880, -49.045
2006-12-14T15:18:00, -19.534, -92.891, -47.042
2006-12-14T15:19:00, -12.332, -89.909, -45.040
2006-12-14T15:20:00, -9.635, -94.969, -45.037
2006-12-14T15:21:00, -13.448, -93.894, -44.036
2006-12-14T15:22:00, -10.937, -92.632, -43.034
2006-12-14T15:23:00, -7.375, -94.818, -43.033
2006-12-14T15:24:00, -3.238, -95.088, -43.033
2006-12-14T15:25:00, -3.794, -97.078, -43.033
2006-12-14T15:26:00, -0.705, -93.898, -43.033
2006-12-14T15:27:00, 0.282, -83.819, -42.033
2006-12-14T15:28:00, 0.880, -81.977, -41.035
2006-12-14T15:29:00, 2.435, -80.422, -41.036
2006-12-14T15:30:00, 4.474, -73.789, -40.038
2006-12-14T15:31:00, 4.024, -68.500, -40.041
2006-12-14T15:32:00, 4.716, -69.816, -39.044
2006-12-14T15:33:00, 1.579, -69.980, -39.048
2006-12-14T15:34:00, 1.604, -70.051, -39.052
2006-12-14T15:35:00, -0.193, -72.707, -39.056
2006-12-14T15:36:00, -1.609, -77.565, -39.061
2006-12-14T15:37:00, -0.337, -76.967, -39.067
2006-12-14T15:38:00, -0.981, -75.792, -40.073
2006-12-14T15:39:00, -1.047, -72.700, -40.079
2006-12-14T15:40:00, -2.266, -73.440, -40.085
2006-12-14T15:41:00, -4.823, -71.687, -39.088
2006-12-14T15:42:00, -4.219, -69.841, -39.096
2006-12-14T15:43:00, -4.286, -66.749, -39.104
2006-12-14T15:44:00, -2.725, -65.190, -38.112
2006-12-14T15:45:00, -1.739, -65.546, -38.120
2006-12-14T15:46:00, -4.866, -65.710, -38.129
2006-12-14T15:47:00, -3.879, -66.065, -38.138
2006-12-14T15:48:00, -5.188, -63.639, -38.147
2006-12-14T15:49:00, -4.673, -58.627, -38.157
2006-12-14T15:50:00, -3.111, -57.063, -38.167
2006-12-14T15:51:00, -1.926, -53.295, -38.177
2006-12-14T15:52:00, -2.562, -52.111, -37.187
2006-12-14T15:53:00, -4.156, -50.638, -37.198
2006-12-14T15:54:00, -4.123, -50.697, -37.208
2006-12-14T15:55:00, -4.566, -45.391, -37.219
2006-12-14T15:56:00, -4.336, -41.329, -37.230
2006-12-14T15:57:00, -8.801, -38.986, -36.242
2006-12-14T15:58:00, -10.012, -39.709, -35.253
2006-12-14T15:59:00, -9.687, -38.804, -35.265
2006-12-14T16:00:00, -12.721, -42.109, -35.276
2006-12-14T16:01:00, -13.639, -41.873, -35.289
2006-12-14T16:02:00, -13.693, -38.761, -35.301
2006-12-14T16:03:00, -15.952, -36.030, -35.314
2006-12-14T16:04:00, -17.829, -35.501, -35.328
2006-12-14T16:05:00, -15.102, -30.090, -35.341
2006-12-14T16:06:00, -19.182, -29.941, -35.355
2006-12-14T16:07:00, -23.261, -29.790, -35.370
2006-12-14T16:08:00, -28.872, -31.267, -35.384
2006-12-14T16:09:00, -34.866, -30.538, -35.400
2006-12-14T16:10:00, -35.494, -29.334, -35.415
2006-12-14T16:11:00, -35.835, -27.171, -35.430
2006-12-14T16:12:00, -34.638, -23.381, -35.446
2006-12-14T16:13:00, -33.637, -23.708, -34.462
2006-12-14T16:14:00, -41.160, -24.601, -35.478
2006-12-14T16:15:00, -53.667, -28.172, -35.494
2006-12-14T16:16:00, -53.043, -26.294, -35.512
2006-12-14T16:17:00, -44.754, -16.278, -35.528
2006-12-14T16:18:00, -40.486, -9.226, -34.545
2006-12-14T16:19:00, -32.679, -4.284, -33.561
2006-12-14T16:20:00, -25.828, 0.946, -33.574
2006-12-14T16:21:00, -18.598, 3.977, -32.591
2006-12-14T16:22:00, -25.922, 7.211, -32.607
2006-12-14T16:23:00, -15.146, 8.133, -32.624
2006-12-14T16:24:00, -10.498, 12.988, -31.640
2006-12-14T16:25:00, -7.958, 14.303, -31.657
2006-12-14T16:26:00, -7.046, 17.153, -30.673
2006-12-14T16:27:00, -4.505, 18.471, -30.689
2006-12-14T16:28:00, -1.677, 20.746, -29.705
2006-12-14T16:29:00, 1.151, 23.024, -29.721
2006-12-14T16:30:00, 6.277, 22.523, -29.736
2006-12-14T16:31:00, 5.465, 19.633, -29.753
2006-12-14T16:32:00, -3.202, 14.932, -29.768
2006-12-14T16:33:00, -12.735, 7.358, -29.784
2006-12-14T16:34:00, -21.784, 4.863, -30.800
