Date_UTC,dbn_nez,dbe_nez,dbz_nez
2006-12-14T12:00:00, -8.496, -2.526, 3.255
2006-12-14T12:01:00, -8.550, -2.493, 3.219
2006-12-14T12:02:00, -7.618, -3.480, 3.185
2006-12-14T12:03:00, -7.670, -3.451, 4.150
2006-12-14T12:04:00, -7.705, -2.423, 4.116
2006-12-14T12:05:00, -8.758, -2.377, 4.080
2006-12-14T12:06:00, -8.811, -2.350, 4.045
2006-12-14T12:07:00, -8.865, -2.325, 4.010
2006-12-14T12:08:00, -7.903, -1.318, 3.974
2006-12-14T12:09:00, -6.921, 0.686, 3.935
2006-12-14T12:10:00, -6.958, 1.709, 3.899
2006-12-14T12:11:00, -7.013, 1.731, 4.863
2006-12-14T12:12:00, -7.050, 2.752, 4.827
2006-12-14T12:13:00, -7.106, 2.772, 4.791
2006-12-14T12:14:00, -7.144, 3.791, 4.755
2006-12-14T12:15:00, -8.180, 4.827, 5.719
2006-12-14T12:16:00, -7.240, 4.828, 5.681
2006-12-14T12:17:00, -8.296, 4.862, 5.646
2006-12-14T12:18:00, -9.317, 6.895, 5.610
2006-12-14T12:19:00, -9.373, 6.910, 5.574
2006-12-14T12:20:00, -9.414, 7.924, 5.539
2006-12-14T12:21:00, -8.488, 6.919, 5.503
2006-12-14T12:22:00, -8.544, 6.931, 5.468
2006-12-14T12:23:00, -7.600, 6.924, 5.433
2006-12-14T12:24:00, -6.657, 6.916, 6.399
2006-12-14T12:25:00, -5.713, 6.907, 6.364
2006-12-14T12:26:00, -5.769, 6.916, 6.330
2006-12-14T12:27:00, -5.824, 6.923, 6.296
2006-12-14T12:28:00, -5.898, 5.930, 6.263
2006-12-14T12:29:00, -5.953, 5.936, 7.229
2006-12-14T12:30:00, -5.991, 6.940, 7.196
2006-12-14T12:31:00, -6.068, 5.945, 7.162
2006-12-14T12:32:00, -6.124, 5.947, 7.129
2006-12-14T12:33:00, -5.179, 5.931, 7.097
2006-12-14T12:34:00, -4.252, 4.913, 7.065
