Date_UTC,dbn_nez,dbe_nez,dbz_nez
2001-08-31T00:00:00, -22.376, 9.082, -12.731
2001-08-31T00:01:00, -22.247, 10.051, -12.723
2001-08-31T00:02:00, -22.307, 9.028, -12.714
2001-08-31T00:03:00, -23.174, 10.090, -11.705
2001-08-31T00:04:00, -22.050, 10.963, -10.697
2001-08-31T00:05:00, -25.002, 11.218, -11.689
2001-08-31T00:06:00, -20.985, 10.812, -11.681
2001-08-31T00:07:00, -20.951, 10.782, -11.673
2001-08-31T00:08:00, -19.733, 12.650, -10.665
2001-08-31T00:09:00, -17.614, 13.427, -10.658
2001-08-31T00:10:00, -19.477, 14.581, -9.651
2001-08-31T00:11:00, -19.067, 18.533, -8.645
2001-08-31T00:12:00, -19.652, 22.578, -7.638
2001-08-31T00:13:00, -21.705, 21.739, -8.632
2001-08-31T00:14:00, -24.846, 19.998, -10.627
2001-08-31T00:15:00, -24.007, 17.880, -11.622
2001-08-31T00:16:00, -23.881, 18.843, -11.617
2001-08-31T00:17:00, -24.656, 20.894, -10.617
2001-08-31T00:18:00, -24.719, 19.864, -11.613
2001-08-31T00:19:00, -21.796, 18.551, -11.610
2001-08-31T00:20:00, -20.771, 18.421, -11.608
2001-08-31T00:21:00, -23.444, 21.654, -11.606
2001-08-31T00:22:00, -27.585, 20.002, -12.604
2001-08-31T00:23:00, -22.577, 19.493, -11.603
2001-08-31T00:24:00, -27.434, 20.922, -12.603
2001-08-31T00:25:00, -30.674, 18.179, -14.604
2001-08-31T00:26:00, -43.590, 19.365, -18.605
2001-08-31T00:27:00, -38.869, 15.866, -18.607
2001-08-31T00:28:00, -38.036, 13.739, -19.609
2001-08-31T00:29:00, -38.105, 12.700, -19.613
2001-08-31T00:30:00, -34.999, 13.369, -18.617
2001-08-31T00:31:00, -33.884, 14.226, -18.622
2001-08-31T00:32:00, -35.664, 16.362, -18.627
2001-08-31T00:33:00, -38.533, 17.595, -18.633
2001-08-31T00:34:00, -39.601, 16.648, -19.639
2001-08-31T00:35:00, -40.669, 15.701, -18.646
2001-08-31T00:36:00, -43.540, 16.932, -18.653
2001-08-31T00:37:00, -48.496, 17.355, -19.661
2001-08-31T00:38:00, -48.758, 14.320, -21.670
2001-08-31T00:39:00, -45.416, 6.925, -25.679
2001-08-31T00:40:00, -45.680, 3.890, -27.688
2001-08-31T00:41:00, -49.360, 7.203, -30.699
2001-08-31T00:42:00, -56.875, 1.839, -37.709
2001-08-31T00:43:00, -53.346, -3.566, -41.721
2001-08-31T00:44:00, -54.796, -8.503, -47.733
2001-08-31T00:45:00, -58.665, -7.183, -50.745
2001-08-31T00:46:00, -55.850, -9.510, -52.758
2001-08-31T00:47:00, -54.557, -6.673, -51.772
2001-08-31T00:48:00, -58.050, -1.373, -53.786
2001-08-31T00:49:00, -55.383, 5.351, -53.801
2001-08-31T00:50:00, -65.230, 7.233, -56.817
2001-08-31T00:51:00, -73.179, 7.930, -60.837
2001-08-31T00:52:00, -76.958, 10.238, -65.854
2001-08-31T00:53:00, -83.107, 8.754, -70.871
2001-08-31T00:54:00, -83.282, 6.703, -73.889
2001-08-31T00:55:00, -84.264, 6.737, -76.908
2001-08-31T00:56:00, -89.041, 9.138, -79.928
2001-08-31T00:57:00, -87.751, 11.968, -79.948
2001-08-31T00:58:00, -91.627, 13.277, -82.969
2001-08-31T00:59:00, -99.014, 19.939, -84.991
2001-08-31T01:00:00, -106.591, 24.611, -88.013
2001-08-31T01:01:00, -112.365, 27.102, -89.036
2001-08-31T01:02:00, -115.059, 30.304, -90.060
2001-08-31T01:03:00, -115.951, 31.327, -91.085
2001-08-31T01:04:00, -121.822, 32.820, -92.111
2001-08-31T01:05:00, -121.720, 33.746, -93.137
2001-08-31T01:06:00, -121.429, 36.663, -93.165
2001-08-31T01:07:00, -129.911, 42.416, -93.194
2001-08-31T01:08:00, -137.680, 45.090, -95.223
2001-08-31T01:09:00, -140.943, 42.314, -97.253
2001-08-31T01:10:00, -136.956, 41.863, -96.283
2001-08-31T01:11:00, -134.488, 46.578, -95.315
2001-08-31T01:12:00, -134.295, 48.495, -96.346
