Date_UTC,dbn_nez,dbe_nez,dbz_nez
2001-08-31T00:00:00, 1.712, 5.075, 14.385
2001-08-31T00:01:00, 0.737, 5.327, 14.426
2001-08-31T00:02:00, 0.713, 5.268, 14.468
2001-08-31T00:03:00, -0.258, 5.523, 15.512
2001-08-31T00:04:00, 1.622, 4.844, 15.556
2001-08-31T00:05:00, 3.816, 5.115, 16.601
2001-08-31T00:06:00, 0.950, 5.999, 16.647
2001-08-31T00:07:00, 0.935, 5.946, 14.696
2001-08-31T00:08:00, 0.922, 5.896, 14.743
2001-08-31T00:09:00, 1.861, 5.535, 14.791
2001-08-31T00:10:00, 0.901, 5.800, 15.840
2001-08-31T00:11:00, -0.058, 6.067, 14.890
2001-08-31T00:12:00, -0.064, 6.022, 13.940
2001-08-31T00:13:00, 2.781, 5.042, 14.990
2001-08-31T00:14:00, 2.777, 4.999, 16.042
2001-08-31T00:15:00, 2.774, 4.958, 15.097
2001-08-31T00:16:00, 4.034, 5.556, 16.149
2001-08-31T00:17:00, 4.034, 5.517, 16.201
2001-08-31T00:18:00, 5.935, 4.856, 16.253
2001-08-31T00:19:00, 5.937, 4.820, 16.305
2001-08-31T00:20:00, 5.940, 4.784, 16.357
2001-08-31T00:21:00, 5.632, 3.800, 16.409
2001-08-31T00:22:00, 5.637, 3.765, 17.463
2001-08-31T00:23:00, 4.692, 4.045, 17.515
2001-08-31T00:24:00, 3.749, 4.326, 16.567
2001-08-31T00:25:00, 2.495, 3.657, 16.619
2001-08-31T00:26:00, 1.553, 3.940, 17.670
2001-08-31T00:27:00, -0.026, 5.485, 17.722
2001-08-31T00:28:00, 1.883, 4.833, 17.773
2001-08-31T00:29:00, 0.943, 5.117, 16.825
2001-08-31T00:30:00, 1.266, 6.040, 16.875
2001-08-31T00:31:00, 1.278, 6.015, 16.925
2001-08-31T00:32:00, -0.608, 6.615, 15.975
2001-08-31T00:33:00, -0.906, 5.642, 16.026
2001-08-31T00:34:00, -0.889, 5.621, 16.076
2001-08-31T00:35:00, -0.872, 5.601, 16.127
2001-08-31T00:36:00, -0.853, 5.582, 16.178
2001-08-31T00:37:00, -1.782, 5.877, 15.231
2001-08-31T00:38:00, -3.023, 5.223, 15.282
2001-08-31T00:39:00, -3.000, 5.207, 14.334
2001-08-31T00:40:00, -4.238, 4.556, 14.385
2001-08-31T00:41:00, -4.214, 4.543, 14.437
2001-08-31T00:42:00, -5.137, 4.843, 14.488
2001-08-31T00:43:00, -5.111, 4.832, 14.544
2001-08-31T00:44:00, -5.083, 4.821, 14.597
2001-08-31T00:45:00, -4.418, 3.549, 14.648
2001-08-31T00:46:00, -4.389, 3.541, 15.699
2001-08-31T00:47:00, -2.460, 2.908, 16.751
2001-08-31T00:48:00, -3.380, 3.213, 17.802
2001-08-31T00:49:00, -6.200, 4.142, 16.853
2001-08-31T00:50:00, -5.219, 3.824, 16.904
2001-08-31T00:51:00, -3.927, 4.457, 17.954
2001-08-31T00:52:00, -3.258, 3.190, 18.006
