Date_UTC,dbn_nez,dbe_nez,dbz_nez
2010-04-05T00:00:00, -91.378, -160.422, -5.977
2010-04-05T00:01:00, -55.052, -131.026, 19.643
2010-04-05T00:02:00, -17.384, -130.672, 27.261
2010-04-05T00:03:00, -20.340, -123.251, -2.126
2010-04-05T00:04:00, -18.315, -126.796, -2.523
2010-04-05T00:05:00, -17.552, -132.192, -3.918
2010-04-05T00:06:00, 2.095, -120.150, 15.683
2010-04-05T00:07:00, -9.397, -122.091, 22.282
2010-04-05T00:08:00, -3.543, -112.038, 30.872
2010-04-05T00:09:00, -0.207, -105.685, 37.465
2010-04-05T00:10:00, -31.741, -100.504, 36.056
2010-04-05T00:11:00, -41.045, -92.057, 51.646
2010-04-05T00:12:00, -48.577, -92.931, 58.228
2010-04-05T00:13:00, -47.279, -91.159, 66.815
2010-04-05T00:14:00, -11.533, -79.285, 74.402
2010-04-05T00:15:00, -11.987, -78.495, 65.981
2010-04-05T00:16:00, -22.561, -71.907, 65.567
2010-04-05T00:17:00, -20.548, -85.779, 65.153
2010-04-05T00:18:00, -26.258, -116.576, 47.739
2010-04-05T00:19:00, -35.062, -119.313, 42.320
2010-04-05T00:20:00, -49.519, -116.046, 41.908
2010-04-05T00:21:00, -51.196, -98.761, 33.497
2010-04-05T00:22:00, -18.320, -73.602, 28.089
2010-04-05T00:23:00, -16.405, -56.597, 14.676
2010-04-05T00:24:00, -14.313, -33.764, 18.272
2010-04-05T00:25:00, -11.172, -4.615, 31.870
2010-04-05T00:26:00, -11.389, 10.049, 24.471
2010-04-05T00:27:00, -3.513, 14.343, 21.070
2010-04-05T00:28:00, 3.073, 27.084, 22.679
2010-04-05T00:29:00, 9.557, 42.059, 26.291
2010-04-05T00:30:00, 8.602, 43.703, 25.902
2010-04-05T00:31:00, 5.100, 51.945, 29.522
2010-04-05T00:32:00, 7.912, 59.136, 27.138
2010-04-05T00:33:00, 18.223, 59.062, 26.760
2010-04-05T00:34:00, 20.706, 44.296, 16.377
2010-04-05T00:35:00, 21.278, 51.379, 4.002
2010-04-05T00:36:00, 28.238, 65.472, -1.372
2010-04-05T00:37:00, 33.554, 76.353, 3.254
2010-04-05T00:38:00, 23.366, 73.978, 9.876
2010-04-05T00:39:00, 26.608, 61.928, 10.506
2010-04-05T00:40:00, 30.900, 56.193, 0.136
2010-04-05T00:41:00, 33.829, 50.841, -8.230
2010-04-05T00:42:00, 55.823, 68.756, 1.397
2010-04-05T00:43:00, 66.857, 81.685, 6.032
2010-04-05T00:44:00, 73.732, 87.705, 10.669
2010-04-05T00:45:00, 62.840, 90.658, 15.301
2010-04-05T00:46:00, 56.476, 73.229, 8.941
2010-04-05T00:47:00, 30.703, 49.525, -11.416
2010-04-05T00:48:00, 23.404, 52.196, -14.773
2010-04-05T00:49:00, 35.514, 61.135, -7.134
2010-04-05T00:50:00, 46.263, 70.459, -2.487
2010-04-05T00:51:00, 45.770, 71.202, -9.839
2010-04-05T00:52:00, 42.866, 66.012, -19.189
2010-04-05T00:53:00, 36.398, 50.804, -30.542
2010-04-05T00:54:00, 33.420, 37.549, -37.889
2010-04-05T00:55:00, 30.031, 33.227, -50.233
2010-04-05T00:56:00, 24.438, 18.504, -55.576
2010-04-05T00:57:00, -1.729, -35.229, -79.921
2010-04-05T00:58:00, 7.234, -45.250, -60.260
2010-04-05T00:59:00, 35.091, -37.832, -48.596
2010-04-05T01:00:00, 30.951, -16.232, -46.936
2010-04-05T01:01:00, 37.730, -8.004, -63.267
2010-04-05T01:02:00, 7.646, -15.813, -93.595
2010-04-05T01:03:00, 2.754, -35.885, -101.920
2010-04-05T01:04:00, -7.049, -36.938, -119.246
2010-04-05T01:05:00, -5.374, -44.172, -118.565
2010-04-05T01:06:00, 13.163, -38.539, -106.881
2010-04-05T01:07:00, 1.023, -37.463, -111.194
2010-04-05T01:08:00, -6.991, -19.187, -103.509
2010-04-05T01:09:00, -9.842, -6.043, -97.818
2010-04-05T01:10:00, -9.068, -3.477, -87.125
2010-04-05T01:11:00, -6.861, 6.764, -71.430
2010-04-05T01:12:00, -12.891, 11.247, -67.738
2010-04-05T01:13:00, -35.815, 13.157, -73.040
2010-04-05T01:14:00, -46.771, 8.010, -61.341
2010-04-05T01:15:00, -28.512, 10.033, -46.646
2010-04-05T01:16:00, -29.171, 4.913, -47.945
2010-04-05T01:17:00, -34.581, -4.011, -53.244
2010-04-05T01:18:00, -33.006, -9.031, -45.542
2010-04-05T01:19:00, -43.650, -20.891, -39.845
2010-04-05T01:20:00, -38.021, -16.773, -27.143
2010-04-05T01:21:00, -16.372, -10.571, -15.442
