Date_UTC,dbn_nez,dbe_nez,dbz_nez
2011-08-05T09:00:00, -1.598, 9.372, 1.509
2011-08-05T09:01:00, -0.638, 9.563, 1.489
2011-08-05T09:02:00, -0.648, 9.511, 1.470
2011-08-05T09:03:00, -0.657, 9.457, 1.450
2011-08-05T09:04:00, -0.666, 9.404, 1.429
2011-08-05T09:05:00, -0.675, 9.349, 1.413
2011-08-05T09:06:00, -0.684, 9.293, 1.392
2011-08-05T09:07:00, -0.694, 9.235, 1.371
2011-08-05T09:08:00, -0.460, 8.208, 1.350
2011-08-05T09:09:00, -0.469, 8.150, 1.328
2011-08-05T09:10:00, -0.719, 9.061, 1.307
2011-08-05T09:11:00, -0.727, 9.002, 1.286
2011-08-05T09:12:00, -1.463, 7.728, 1.264
2011-08-05T09:13:00, -1.713, 8.637, 1.243
2011-08-05T09:14:00, -1.719, 8.575, 1.221
2011-08-05T09:15:00, -1.968, 9.480, 1.199
2011-08-05T09:16:00, -1.974, 9.415, 1.178
2011-08-05T09:17:00, -1.979, 9.350, 1.156
2011-08-05T09:18:00, -1.984, 9.284, 1.135
2011-08-05T09:19:00, -2.714, 8.004, 2.113
2011-08-05T09:20:00, -2.718, 7.936, 2.096
2011-08-05T09:21:00, -2.720, 7.866, 2.075
2011-08-05T09:22:00, -3.935, 8.522, 2.053
2011-08-05T09:23:00, -3.694, 7.480, 2.033
2011-08-05T09:24:00, -3.937, 8.378, 1.012
2011-08-05T09:25:00, -3.694, 7.334, 1.992
2011-08-05T09:26:00, -3.693, 7.259, 1.972
2011-08-05T09:27:00, -3.690, 7.183, 1.952
2011-08-05T09:28:00, -3.687, 7.106, 1.933
2011-08-05T09:29:00, -3.925, 7.997, 1.913
2011-08-05T09:30:00, -3.919, 7.916, 0.894
2011-08-05T09:31:00, -3.913, 7.835, 0.875
2011-08-05T09:32:00, -4.148, 8.723, 0.857
2011-08-05T09:33:00, -5.112, 8.397, 0.838
2011-08-05T09:34:00, -4.133, 8.554, 0.823
2011-08-05T09:35:00, -4.125, 8.468, 0.804
2011-08-05T09:36:00, -4.116, 8.380, 1.785
2011-08-05T09:37:00, -4.106, 8.289, 1.765
2011-08-05T09:38:00, -4.096, 8.199, 1.746
2011-08-05T09:39:00, -4.085, 8.108, 1.728
2011-08-05T09:40:00, -4.074, 8.016, 1.709
2011-08-05T09:41:00, -4.061, 7.923, 1.690
2011-08-05T09:42:00, -4.048, 7.829, 1.672
2011-08-05T09:43:00, -4.037, 7.734, 2.654
2011-08-05T09:44:00, -4.022, 7.638, 2.636
2011-08-05T09:45:00, -4.007, 7.538, 2.618
2011-08-05T09:46:00, -3.990, 7.441, 2.600
2011-08-05T09:47:00, -3.974, 7.342, 2.583
2011-08-05T09:48:00, -3.956, 7.243, 2.570
2011-08-05T09:49:00, -3.937, 7.143, 2.553
2011-08-05T09:50:00, -3.918, 7.043, 2.537
2011-08-05T09:51:00, -3.897, 6.941, 2.521
2011-08-05T09:52:00, -4.117, 7.807, 2.506
2011-08-05T09:53:00, -3.853, 6.734, 2.491
2011-08-05T09:54:00, -3.101, 7.844, 2.476
2011-08-05T09:55:00, -3.077, 7.741, 2.462
2011-08-05T09:56:00, -3.052, 7.637, 2.449
2011-08-05T09:57:00, -3.025, 7.533, 2.436
2011-08-05T09:58:00, -2.998, 7.429, 2.424
2011-08-05T09:59:00, -3.211, 8.295, 2.412
2011-08-05T10:00:00, -3.181, 8.187, 2.401
2011-08-05T10:01:00, -2.181, 8.323, 2.390
2011-08-05T10:02:00, -2.149, 8.216, 3.383
2011-08-05T10:03:00, -2.116, 8.108, 3.373
2011-08-05T10:04:00, -2.324, 8.969, 3.363
2011-08-05T10:05:00, -2.047, 7.889, 3.354
2011-08-05T10:06:00, -2.253, 8.748, 3.344
2011-08-05T10:07:00, -1.972, 7.662, 3.335
2011-08-05T10:08:00, -2.176, 8.519, 3.327
2011-08-05T10:09:00, -3.105, 8.164, 3.318
2011-08-05T10:10:00, -3.307, 9.020, 3.310
2011-08-05T10:11:00, -3.023, 7.935, 3.303
2011-08-05T10:12:00, -3.223, 8.789, 3.296
2011-08-05T10:13:00, -3.180, 8.673, 3.289
2011-08-05T10:14:00, -3.136, 8.557, 3.283
2011-08-05T10:15:00, -3.091, 8.437, 3.277
2011-08-05T10:16:00, -2.076, 8.562, 3.271
2011-08-05T10:17:00, -2.030, 8.444, 3.271
2011-08-05T10:18:00, -1.983, 8.327, 3.266
2011-08-05T10:19:00, -1.936, 8.210, 3.263
2011-08-05T10:20:00, -0.917, 8.335, 3.259
2011-08-05T10:21:00, -0.868, 8.218, 3.257
2011-08-05T10:22:00, -1.060, 9.068, 3.255
2011-08-05T10:23:00, -1.010, 8.951, 3.253
2011-08-05T10:24:00, -0.959, 8.835, 3.253
2011-08-05T10:25:00, -0.908, 8.719, 3.252
2011-08-05T10:26:00, -1.101, 9.574, 3.253
