Date_UTC,dbn_nez,dbe_nez,dbz_nez
2016-03-06T00:00:00, 13.046, 0.071, 3.959
2016-03-06T00:01:00, 13.337, 0.001, 4.004
2016-03-06T00:02:00, 13.801, -0.134, 4.056
2016-03-06T00:03:00, 14.246, -0.203, 4.107
2016-03-06T00:04:00, 14.440, -0.137, 4.122
2016-03-06T00:05:00, 14.581, -0.072, 4.139
2016-03-06T00:06:00, 14.839, -0.141, 4.164
2016-03-06T00:07:00, 14.779, -0.144, 4.159
2016-03-06T00:08:00, 14.493, 0.056, 4.147
2016-03-06T00:09:00, 14.256, 0.122, 4.128
2016-03-06T00:10:00, 14.281, 0.187, 4.157
2016-03-06T00:11:00, 14.420, 0.186, 4.174
2016-03-06T00:12:00, 14.455, 0.252, 4.185
2016-03-06T00:13:00, 14.432, 0.385, 4.189
2016-03-06T00:14:00, 14.453, 0.383, 4.162
2016-03-06T00:15:00, 14.554, 0.316, 4.175
2016-03-06T00:16:00, 14.554, 0.314, 4.177
2016-03-06T00:17:00, 14.535, 0.448, 4.171
2016-03-06T00:18:00, 14.621, 0.514, 4.167
2016-03-06T00:19:00, 14.735, 0.512, 4.163
2016-03-06T00:20:00, 14.731, 0.511, 4.148
2016-03-06T00:21:00, 14.776, 0.577, 4.138
2016-03-06T00:22:00, 14.922, 0.576, 4.147
2016-03-06T00:23:00, 15.092, 0.575, 4.135
2016-03-06T00:24:00, 15.268, 0.574, 4.157
2016-03-06T00:25:00, 15.545, 0.574, 4.165
2016-03-06T00:26:00, 15.326, 0.774, 4.107
2016-03-06T00:27:00, 14.875, 0.976, 4.038
2016-03-06T00:28:00, 14.883, 0.975, 4.036
2016-03-06T00:29:00, 14.885, 0.975, 4.018
2016-03-06T00:30:00, 14.886, 1.108, 4.013
2016-03-06T00:31:00, 15.088, 1.175, 4.025
2016-03-06T00:32:00, 15.186, 1.243, 4.009
2016-03-06T00:33:00, 15.283, 1.241, 4.002
2016-03-06T00:34:00, 15.368, 1.308, 3.980
2016-03-06T00:35:00, 15.403, 1.308, 3.982
2016-03-06T00:36:00, 15.270, 1.508, 3.969
2016-03-06T00:37:00, 15.047, 1.642, 3.937
2016-03-06T00:38:00, 14.804, 1.776, 3.914
2016-03-06T00:39:00, 14.735, 1.775, 3.891
2016-03-06T00:40:00, 14.763, 1.774, 3.862
2016-03-06T00:41:00, 14.907, 1.705, 3.852
2016-03-06T00:42:00, 14.949, 1.706, 3.843
2016-03-06T00:43:00, 14.928, 1.705, 3.811
2016-03-06T00:44:00, 15.033, 1.705, 3.815
2016-03-06T00:45:00, 15.167, 1.636, 3.808
2016-03-06T00:46:00, 15.051, 1.637, 3.759
2016-03-06T00:47:00, 14.902, 1.569, 3.702
2016-03-06T00:48:00, 14.890, 1.502, 3.678
2016-03-06T00:49:00, 14.746, 1.502, 3.630
2016-03-06T00:50:00, 14.822, 1.502, 3.638
2016-03-06T00:51:00, 14.888, 1.435, 3.604
2016-03-06T00:52:00, 14.684, 1.570, 3.519
2016-03-06T00:53:00, 14.772, 1.504, 3.478
2016-03-06T00:54:00, 14.840, 1.437, 3.414
