Date_UTC,dbn_nez,dbe_nez,dbz_nez
2017-05-27T14:00:00, -9.455, 8.739, 2.471
2017-05-27T14:01:00, -9.521, 9.292, 2.015
2017-05-27T14:02:00, -10.727, 8.317, 1.301
2017-05-27T14:03:00, -11.001, 8.830, 0.829
2017-05-27T14:04:00, -12.684, 8.042, -0.472
2017-05-27T14:05:00, -11.715, 9.838, -0.540
2017-05-27T14:06:00, -11.009, 9.682, -0.515
2017-05-27T14:07:00, -13.018, 9.160, -1.116
2017-05-27T14:08:00, -14.392, 8.037, -1.752
2017-05-27T14:09:00, -13.724, 8.241, -1.421
2017-05-27T14:10:00, -13.641, 8.128, -1.688
2017-05-27T14:11:00, -14.149, 8.202, -2.530
2017-05-27T14:12:00, -16.490, 8.320, -3.310
2017-05-27T14:13:00, -16.360, 8.720, -2.992
2017-05-27T14:14:00, -14.442, 8.916, -3.984
2017-05-27T14:15:00, -14.773, 8.391, -5.066
2017-05-27T14:16:00, -15.439, 9.334, -4.847
2017-05-27T14:17:00, -16.266, 8.292, -5.489
2017-05-27T14:18:00, -14.700, 8.004, -5.642
2017-05-27T14:19:00, -16.844, 9.033, -5.417
2017-05-27T14:20:00, -19.121, 9.041, -5.160
2017-05-27T14:21:00, -17.368, 11.434, -5.775
2017-05-27T14:22:00, -17.288, 10.736, -6.390
2017-05-27T14:23:00, -17.600, 10.907, -8.439
2017-05-27T14:24:00, -17.898, 10.135, -9.035
2017-05-27T14:25:00, -17.132, 8.833, -9.920
2017-05-27T14:26:00, -14.236, 9.476, -9.355
2017-05-27T14:27:00, -15.659, 9.377, -8.748
2017-05-27T14:28:00, -18.175, 10.310, -9.203
2017-05-27T14:29:00, -20.530, 10.019, -10.256
2017-05-27T14:30:00, -20.076, 10.025, -10.789
2017-05-27T14:31:00, -21.208, 9.990, -11.513
2017-05-27T14:32:00, -19.978, 9.728, -12.719
2017-05-27T14:33:00, -20.177, 8.649, -12.834
2017-05-27T14:34:00, -22.825, 7.264, -13.017
2017-05-27T14:35:00, -21.420, 9.353, -13.661
2017-05-27T14:36:00, -20.856, 9.231, -13.817
2017-05-27T14:37:00, -19.209, 8.749, -13.633
2017-05-27T14:38:00, -18.928, 8.203, -13.469
2017-05-27T14:39:00, -21.056, 7.579, -13.798
2017-05-27T14:40:00, -22.697, 9.347, -14.134
2017-05-27T14:41:00, -21.319, 9.648, -15.279
2017-05-27T14:42:00, -18.681, 8.850, -14.925
2017-05-27T14:43:00, -19.454, 7.027, -15.313
2017-05-27T14:44:00, -21.362, 5.595, -15.232
2017-05-27T14:45:00, -24.052, 4.552, -15.878
2017-05-27T14:46:00, -23.822, 6.931, -15.176
2017-05-27T14:47:00, -22.955, 9.312, -15.815
2017-05-27T14:48:00, -20.372, 12.031, -15.558
2017-05-27T14:49:00, -18.107, 9.934, -16.236
2017-05-27T14:50:00, -15.058, 6.897, -16.886
2017-05-27T14:51:00, -15.321, 3.204, -17.614
2017-05-27T14:52:00, -17.528, 1.464, -17.580
2017-05-27T14:53:00, -17.883, 1.836, -16.359
2017-05-27T14:54:00, -17.009, 4.985, -14.884
2017-05-27T14:55:00, -19.331, 7.412, -14.972
2017-05-27T14:56:00, -19.777, 10.256, -15.891
2017-05-27T14:57:00, -18.465, 10.129, -18.228
2017-05-27T14:58:00, -17.346, 6.850, -20.596
2017-05-27T14:59:00, -15.669, 3.302, -21.312
2017-05-27T15:00:00, -16.044, 0.821, -19.797
2017-05-27T15:01:00, -16.290, 0.087, -17.504
2017-05-27T15:02:00, -19.201, 1.445, -17.009
2017-05-27T15:03:00, -22.115, 4.027, -18.376
2017-05-27T15:04:00, -20.520, 4.504, -19.704
2017-05-27T15:05:00, -18.692, 4.674, -20.599
2017-05-27T15:06:00, -17.570, 2.822, -21.428
2017-05-27T15:07:00, -18.448, 2.200, -20.849
2017-05-27T15:08:00, -16.907, 2.428, -19.615
2017-05-27T15:09:00, -17.509, 1.372, -18.861
2017-05-27T15:10:00, -18.002, 1.067, -18.389
2017-05-27T15:11:00, -19.669, 2.112, -18.486
2017-05-27T15:12:00, -21.341, 3.681, -19.092
2017-05-27T15:13:00, -22.196, 5.084, -20.327
2017-05-27T15:14:00, -21.353, 4.921, -21.104
2017-05-27T15:15:00, -20.075, 4.088, -20.580
2017-05-27T15:16:00, -20.193, 3.294, -18.725
2017-05-27T15:17:00, -22.708, 3.951, -17.991
2017-05-27T15:18:00, -23.834, 6.660, -18.300
2017-05-27T15:19:00, -24.639, 6.510, -20.234
2017-05-27T15:20:00, -23.571, 4.900, -21.789
2017-05-27T15:21:00, -23.338, 4.416, -22.106
2017-05-27T15:22:00, -22.306, 5.677, -19.813
2017-05-27T15:23:00, -22.243, 5.860, -18.470
2017-05-27T15:24:00, -22.300, 4.149, -18.146
2017-05-27T15:25:00, -22.155, 4.434, -18.924
2017-05-27T15:26:00, -24.346, 4.432, -20.077
2017-05-27T15:27:00, -25.452, 4.047, -22.227
2017-05-27T15:28:00, -22.425, 2.617, -23.712
2017-05-27T15:29:00, -18.674, 1.486, -23.311
