Date_UTC,dbn_nez,dbe_nez,dbz_nez
2018-08-25T00:00:00, 1.476, -0.417, 4.038
2018-08-25T00:01:00, 1.703, -0.519, 4.006
2018-08-25T00:02:00, 1.878, -0.638, 3.935
2018-08-25T00:03:00, 1.997, -0.654, 4.012
2018-08-25T00:04:00, 2.061, -0.608, 3.901
2018-08-25T00:05:00, 2.022, -0.556, 3.911
2018-08-25T00:06:00, 1.777, -0.503, 3.898
2018-08-25T00:07:00, 1.660, -0.478, 3.826
2018-08-25T00:08:00, 1.606, -0.386, 4.004
2018-08-25T00:09:00, 1.932, -0.626, 3.885
2018-08-25T00:10:00, 2.226, -0.764, 3.961
2018-08-25T00:11:00, 2.308, -0.900, 3.881
2018-08-25T00:12:00, 2.534, -1.035, 3.969
2018-08-25T00:13:00, 2.675, -1.025, 3.967
2018-08-25T00:14:00, 2.542, -0.900, 3.832
2018-08-25T00:15:00, 2.586, -0.846, 3.853
2018-08-25T00:16:00, 2.754, -0.688, 3.819
2018-08-25T00:17:00, 2.868, -0.647, 3.837
2018-08-25T00:18:00, 2.900, -0.683, 3.835
2018-08-25T00:19:00, 2.853, -0.614, 3.743
2018-08-25T00:20:00, 2.690, -0.680, 3.752
2018-08-25T00:21:00, 2.632, -0.681, 3.750
2018-08-25T00:22:00, 2.513, -0.649, 3.815
2018-08-25T00:23:00, 2.447, -0.591, 3.754
2018-08-25T00:24:00, 2.245, -0.455, 3.744
2018-08-25T00:25:00, 2.031, -0.208, 3.719
2018-08-25T00:26:00, 1.907, 0.073, 3.729
2018-08-25T00:27:00, 1.901, 0.327, 3.708
2018-08-25T00:28:00, 1.693, 0.543, 3.745
2018-08-25T00:29:00, 1.563, 0.644, 3.845
2018-08-25T00:30:00, 1.506, 0.700, 3.863
2018-08-25T00:31:00, 1.395, 0.659, 3.842
2018-08-25T00:32:00, 1.375, 0.663, 3.868
2018-08-25T00:33:00, 1.337, 0.628, 3.828
2018-08-25T00:34:00, 1.252, 0.715, 3.838
2018-08-25T00:35:00, 1.278, 0.806, 3.856
2018-08-25T00:36:00, 1.401, 0.801, 3.824
2018-08-25T00:37:00, 1.408, 0.732, 3.733
2018-08-25T00:38:00, 1.489, 0.709, 3.700
2018-08-25T00:39:00, 1.433, 0.783, 3.832
2018-08-25T00:40:00, 1.454, 0.753, 3.901
2018-08-25T00:41:00, 1.389, 0.777, 3.849
2018-08-25T00:42:00, 1.390, 0.788, 3.836
2018-08-25T00:43:00, 1.292, 0.773, 3.795
2018-08-25T00:44:00, 1.281, 0.734, 3.826
2018-08-25T00:45:00, 1.392, 0.697, 3.852
2018-08-25T00:46:00, 1.558, 0.568, 3.894
2018-08-25T00:47:00, 1.627, 0.533, 3.881
2018-08-25T00:48:00, 1.777, 0.464, 3.841
2018-08-25T00:49:00, 1.798, 0.301, 3.848
2018-08-25T00:50:00, 2.045, 0.176, 3.839
2018-08-25T00:51:00, 2.281, -0.078, 3.819
2018-08-25T00:52:00, 2.552, -0.316, 3.768
2018-08-25T00:53:00, 2.714, -0.537, 3.869
2018-08-25T00:54:00, 2.995, -0.745, 3.798
2018-08-25T00:55:00, 3.051, -0.871, 3.856
2018-08-25T00:56:00, 3.064, -1.035, 3.805
2018-08-25T00:57:00, 3.155, -0.843, 3.774
2018-08-25T00:58:00, 3.126, -0.725, 3.797
2018-08-25T00:59:00, 3.022, -0.623, 3.805
2018-08-25T01:00:00, 2.935, -0.432, 3.785
2018-08-25T01:01:00, 2.908, -0.425, 3.817
2018-08-25T01:02:00, 2.939, -0.280, 3.825
2018-08-25T01:03:00, 2.774, -0.216, 3.766
2018-08-25T01:04:00, 2.817, -0.243, 3.806
2018-08-25T01:05:00, 2.872, -0.210, 3.806
2018-08-25T01:06:00, 3.161, -0.101, 3.788
2018-08-25T01:07:00, 3.379, -0.218, 3.788
2018-08-25T01:08:00, 3.443, -0.387, 3.750
2018-08-25T01:09:00, 3.645, -0.594, 3.739
2018-08-25T01:10:00, 3.839, -0.970, 3.732
2018-08-25T01:11:00, 4.038, -1.398, 3.862
2018-08-25T01:12:00, 4.066, -1.666, 3.805
2018-08-25T01:13:00, 4.140, -1.646, 3.774
2018-08-25T01:14:00, 4.246, -1.609, 3.776
2018-08-25T01:15:00, 4.407, -1.315, 3.847
2018-08-25T01:16:00, 4.393, -1.301, 3.837
2018-08-25T01:17:00, 4.481, -1.203, 3.830
2018-08-25T01:18:00, 4.569, -1.136, 3.851
2018-08-25T01:19:00, 4.458, -1.169, 3.782
