Date_UTC,dbn_nez,dbe_nez,dbz_nez
2018-08-25T00:00:00, 0.699, 26.042, -4.868
2018-08-25T00:01:00, 2.281, 23.685, -5.876
2018-08-25T00:02:00, 3.214, 23.045, -7.488
2018-08-25T00:03:00, 3.059, 23.887, -8.896
2018-08-25T00:04:00, 1.497, 25.448, -9.502
2018-08-25T00:05:00, -0.030, 25.893, -9.004
2018-08-25T00:06:00, -0.639, 26.399, -8.213
2018-08-25T00:07:00, -1.048, 26.876, -7.516
2018-08-25T00:08:00, 0.283, 27.491, -5.715
2018-08-25T00:09:00, 1.167, 28.479, -3.819
2018-08-25T00:10:00, 1.311, 30.590, -2.318
2018-08-25T00:11:00, 1.216, 31.119, -1.620
2018-08-25T00:12:00, 1.098, 32.157, -0.919
2018-08-25T00:13:00, 1.150, 31.651, -1.217
2018-08-25T00:14:00, 0.822, 31.304, -3.018
2018-08-25T00:15:00, 0.117, 29.800, -5.012
2018-08-25T00:16:00, -0.230, 28.646, -7.119
2018-08-25T00:17:00, -0.396, 27.362, -8.416
2018-08-25T00:18:00, -1.893, 27.292, -10.617
2018-08-25T00:19:00, -4.302, 27.866, -12.517
2018-08-25T00:20:00, -5.196, 27.095, -12.917
2018-08-25T00:21:00, -4.753, 27.131, -12.619
2018-08-25T00:22:00, -4.140, 26.939, -11.916
2018-08-25T00:23:00, -3.810, 26.889, -11.319
2018-08-25T00:24:00, -4.660, 27.725, -11.621
2018-08-25T00:25:00, -5.912, 29.229, -12.326
2018-08-25T00:26:00, -7.856, 30.837, -13.037
2018-08-25T00:27:00, -8.734, 31.473, -12.444
2018-08-25T00:28:00, -9.026, 32.624, -12.051
2018-08-25T00:29:00, -9.624, 34.427, -11.660
2018-08-25T00:30:00, -9.795, 36.365, -10.370
2018-08-25T00:31:00, -10.641, 37.192, -9.083
2018-08-25T00:32:00, -11.205, 37.874, -8.195
2018-08-25T00:33:00, -11.821, 38.868, -7.410
2018-08-25T00:34:00, -12.490, 40.171, -7.125
2018-08-25T00:35:00, -12.518, 40.365, -6.238
2018-08-25T00:36:00, -11.428, 40.591, -5.157
2018-08-25T00:37:00, -10.767, 39.970, -3.672
2018-08-25T00:38:00, -10.169, 38.954, -2.588
2018-08-25T00:39:00, -10.232, 39.555, -2.505
2018-08-25T00:40:00, -10.409, 40.071, -2.020
2018-08-25T00:41:00, -10.655, 40.799, -1.239
2018-08-25T00:42:00, -10.116, 40.699, -0.158
2018-08-25T00:43:00, -9.097, 40.423, 0.723
2018-08-25T00:44:00, -8.527, 40.518, 1.303
2018-08-25T00:45:00, -7.293, 40.308, 2.784
2018-08-25T00:46:00, -6.502, 39.861, 3.160
2018-08-25T00:47:00, -6.479, 40.339, 3.636
2018-08-25T00:48:00, -6.093, 41.873, 4.515
2018-08-25T00:49:00, -5.251, 43.741, 5.592
2018-08-25T00:50:00, -4.789, 45.767, 6.168
2018-08-25T00:51:00, -4.287, 46.066, 6.443
