Date_UTC,dbn_nez,dbe_nez,dbz_nez
2020-04-20T00:00:00, 2.733, -0.124, -4.105
2020-04-20T00:01:00, 2.757, -0.189, -4.118
2020-04-20T00:02:00, 2.852, -0.304, -4.095
2020-04-20T00:03:00, 2.798, -0.191, -4.089
2020-04-20T00:04:00, 2.884, -0.275, -4.086
2020-04-20T00:05:00, 2.891, -0.180, -4.042
2020-04-20T00:06:00, 3.021, -0.384, -4.009
2020-04-20T00:07:00, 3.008, -0.294, -4.015
2020-04-20T00:08:00, 3.101, -0.375, -3.991
2020-04-20T00:09:00, 3.097, -0.474, -3.978
2020-04-20T00:10:00, 3.171, -0.431, -3.947
2020-04-20T00:11:00, 3.192, -0.654, -3.911
2020-04-20T00:12:00, 3.277, -0.736, -3.911
2020-04-20T00:13:00, 3.414, -0.616, -3.919
2020-04-20T00:14:00, 3.613, -0.612, -3.920
2020-04-20T00:15:00, 3.725, -0.625, -3.917
2020-04-20T00:16:00, 3.861, -0.440, -3.926
2020-04-20T00:17:00, 3.983, -0.644, -3.845
2020-04-20T00:18:00, 3.937, -0.621, -3.827
2020-04-20T00:19:00, 4.110, -0.687, -3.825
2020-04-20T00:20:00, 4.177, -0.772, -3.780
2020-04-20T00:21:00, 4.249, -0.727, -3.759
2020-04-20T00:22:00, 4.249, -0.697, -3.715
2020-04-20T00:23:00, 4.270, -0.725, -3.695
2020-04-20T00:24:00, 4.385, -0.802, -3.639
2020-04-20T00:25:00, 4.440, -0.825, -3.588
2020-04-20T00:26:00, 4.466, -0.725, -3.552
2020-04-20T00:27:00, 4.469, -0.887, -3.513
2020-04-20T00:28:00, 4.551, -0.939, -3.493
2020-04-20T00:29:00, 4.690, -0.979, -3.466
2020-04-20T00:30:00, 4.811, -0.862, -3.459
2020-04-20T00:31:00, 4.818, -0.831, -3.425
2020-04-20T00:32:00, 4.895, -0.851, -3.387
2020-04-20T00:33:00, 4.965, -0.937, -3.349
2020-04-20T00:34:00, 4.959, -0.844, -3.355
2020-04-20T00:35:00, 5.012, -1.061, -3.287
2020-04-20T00:36:00, 4.993, -1.002, -3.254
2020-04-20T00:37:00, 4.992, -1.069, -3.225
2020-04-20T00:38:00, 4.939, -0.984, -3.178
2020-04-20T00:39:00, 5.042, -0.871, -3.185
