Event	Start Time		End Time		F10.7	L1[Re]
1	2003-10-29T06:00:00     2003-10-30T06:00:00	275.4	231.6
2	2006-12-14T12:00:00     2006-12-16T00:00:00	 90.5	227.5
3	2001-08-31T00:00:00     2001-09-01T00:00:00	203.0	233.25
4	2005-08-31T10:00:00     2005-09-01T12:00:00	 86.0	225.4
5	2010-04-05T00:00:00     2010-04-06T00:00:00	 79.0	238.6
6	2011-08-05T09:00:00     2011-08-06T09:00:00	113.0	248.5
7	1998-07-07T00:01:00	1998-07-07T23:59:00	118.5	232.3
8	1998-08-02T00:01:00	1998-08-02T23:59:00     112.9	242.7
9	1998-08-10T00:01:00	1998-08-10T23:59:00	153.3	244.8
10	1999-07-02T00:01:00	1999-07-02T23:59:00	193.4	236.5
